Gene	Class	PDB chain	Coexpression	Seqid	Unique subunits
Ube2k	E	2bf8_A	0.340100	97.48	2
Cul5	E	3dqv_C	0.093800	97.38	3
Cops7a	E	4d18_G	0.260814	97.30	8
Srp19	E	4ue5_F	0.147433	97.20	6
Nae1	E	3gzn_A	0.209900	97.00	3
Cdk1	E	4yc6_A	0.745800	96.97	2
Clip1	E	2e4h_A	0.042600	96.94	2
Tes	E	2iyb_E	0.072100	96.92	2
Sec13	E	5a9q_6	0.257550	96.89	10
Tufm	E	1xb2_A	0.344300	96.82	2
Vps36	E	3cuq_B	0.227050	96.79	3
Ppp1r8	E	3v4y_B	0.316600	96.77	2
Capza1	E	5afu_K	0.220583	96.73	22
Uba2	E	3kyd_B	0.385850	96.73	3
Grb2	E	1gcq_A	0.266700	96.72	2
Banf1	E	2odg_A	0.238300	96.63	2
Ywhag	E	4j6s_A	0.063600	96.47	2
Cdk6	E	1g3n_A	0.129300	96.32	3
Eif4g1	E	4f02_C	0.214200	96.30	2
Sept6	E	2qag_B	0.110200	96.25	3
Map2k1	E	4mne_A	0.082800	96.19	2
Cdc37	E	2k5b_B	0.200100	96.12	2
Seh1l	E	5a9q_7	0.348475	96.11	10
Mapk14	E	4ka3_A	0.069600	96.11	2
Myo10	E	3au4_A	0.078100	96.04	2
Map1lc3b	E	2z0d_B	0.189400	96.00	2
Dot1l	E	2mv7_B	0.077000	96.00	2
Raver1	E	3h2v_E	0.232800	95.95	2
Ccm2	E	4y5o_A	0.268100	95.92	2
Etfa	E	2a1t_R	0.437450	95.80	3
Flnc	E	2k9u_A	0.169000	95.80	2
Ppia	E	1m63_C	0.138500	95.76	4
Pfn1	E	2pav_P	0.063900	95.68	3
Wdr48	E	5cvn_A	0.109600	95.65	3
Ppp1r12a	E	1s70_B	0.296700	95.65	2
Bcar1	E	3t6g_B	0.068100	95.63	2
Dcp1a	E	4b6h_A	0.169700	95.52	2
Ralb	E	2kwi_A	0.088400	95.51	2
Ppp2r4	E	4lac_B	0.244800	95.45	3
Eif4enif1	E	5anr_C	0.180500	95.45	3
Stam2	E	5crv_C	0.071900	95.24	2
Ufd1l	E	5c1b_U	0.249800	95.24	2
Kars	E	4dpg_A	0.447900	95.13	2
Sec24a	E	2nup_B	0.245600	95.09	3
Arhgap1	E	1ow3_A	0.256000	95.04	2
Mylk	E	1cdl_E	0.106200	95.00	2
Nek7	E	5de2_A	0.194000	94.84	2
Pafah1b3	E	1fxw_A	0.169000	94.83	2
Rab3ip	E	4uj3_B	0.124050	94.36	3
Bag2	E	3cqx_C	0.156300	94.32	2
Faf1	E	3qq8_B	0.209200	94.12	2
Tacc3	E	4pky_B	-0.002100	94.00	2
Prdx1	E	2rii_A	0.161700	93.97	2
Fam126a	E	5dse_B	0.066500	93.91	2
Farsb	E	3l4g_B	0.305300	93.72	2
Nup43	E	5a9q_0	0.437900	93.68	10
Nxf1	E	1jn5_B	0.105900	93.60	3
Cops8	E	4d18_H	0.255943	93.43	8
Pdia3	E	3f8u_A	0.291100	93.35	2
Anapc4	E	4ui9_I	0.223885	93.32	18
Prkci	E	1wmh_A	-0.023500	93.26	2
Srp9	E	3jaj_S1	0.273337	93.24	83
Npr3	E	1jdp_A	-0.006600	93.20	2
Dlat	E	3crk_C	0.189900	93.10	2
Vapa	E	2rr3_A	0.123900	93.08	2
Fkbp4	E	4drj_A	0.126200	93.06	2
Fntb	E	1nl4_B	0.151800	93.02	2
Stx12	E	2nps_B	0.162733	92.96	4
Pdk3	E	1y8p_A	0.049100	92.84	2
Eif3a	E	5a5t_A	0.333357	92.80	8
Kif11	E	4aqv_C	0.033350	92.76	3
Vprbp	E	3wa0_G	0.356000	92.71	2
Skp2	E	1ldk_E	0.168550	92.68	5
Stim1	E	2mak_A	0.274000	92.68	2
Klhl11	E	4apf_A	-0.064200	92.59	2
Snap29	E	4wy4_D	0.161400	92.31	4
Arhgef7	E	1zsg_A	0.218900	92.31	2
Brox	E	3um1_A	0.162900	92.29	2
Sdcbp	E	1ybo_A	0.059100	92.17	2
Mat2b	E	4ndn_E	0.150200	91.64	2
Trmt61a	E	5ccx_A	0.361700	91.35	2
Pdcd6ip	E	3c3q_A	0.228800	91.05	2
Eps15	E	2jxc_A	0.047800	91.00	2
Tfdp1	E	2aze_A	0.178950	90.97	3
Paip1	E	1jh4_B	0.057300	90.91	2
Eftud1	E	5anb_K	0.118300	90.80	11
Eif4e2	E	2jgb_A	0.341100	90.26	2
Mpp5	E	1y76_B	0.204000	90.00	2
Rab9	E	4qxa_A	-0.121400	89.90	2
Spag9	E	2w83_C	0.215000	89.61	2
Fdxr	E	1e6e_A	0.258200	89.13	2
Sae1	E	1y8r_A	0.331150	89.02	3
Nup133	E	3cqg_B	0.451700	88.99	2
Nup214	E	3fhc_A	0.161500	88.89	2
Cacybp	E	2jtt_C	-0.033000	88.57	2
Spg20	E	4u7i_A	0.161400	88.42	2
Eef1e1	E	4bvx_B	0.251200	87.72	2
Txnrd1	E	3qfb_A	0.273800	87.67	2
Dctn6	E	5afu_U	0.247783	87.50	22
Sqstm1	E	4mjs_B	0.114800	87.50	2
Qars	E	4r3z_C	0.358600	87.23	3
Pex14	E	2w84_A	0.259200	87.14	2
Anln	E	4xoi_B	0.140800	87.04	2
Txn1	E	4ll1_B	-0.038900	86.67	2
Apaf1	E	3jbt_A	0.074100	86.59	2
Tsfm	E	1xb2_B	0.344300	86.25	2
Glmn	E	4f52_E	0.243500	86.07	3
Hspe1	E	4pj1_1	0.576500	85.96	2
Atox1	E	2k1r_B	0.146200	85.29	2
Mars	E	4bvx_A	0.251200	85.12	2
Lxn	E	2bo9_B	-0.089500	84.68	2
Cpsf7	E	3n9u_C	0.193100	84.62	2
Ldlr	E	3p5c_L	0.182900	84.55	3
Mrpl23	E	3j9m_U	0.326866	84.31	81
Aurkb	E	4af3_A	0.740600	84.25	2
Irf3	E	1t2k_A	0.053300	83.93	3
Cdca8	E	2qfa_B	0.794600	83.87	3
Fubp1	E	2kxh_B	0.326000	83.87	2
Dab2	E	3h8d_E	0.163700	83.33	2
Mrps2	E	5aj4_AB	0.256269	83.18	83
Aimp1	E	4r3z_A	0.389550	82.69	3
Bub1b	E	4ggd_C	0.802300	82.61	2
Stat1	E	2ka6_B	0.105800	82.22	2
Rab32	E	4cz2_A	0.032600	82.17	2
Edc3	E	2wax_B	0.105500	81.82	2
Igbp1	E	4iyp_A	0.195800	81.53	2
Rangap1	E	2iy0_C	0.174750	81.41	3
Pdia6	E	3w8j_A	0.324000	80.28	2
Ctdp1	E	1onv_B	0.197500	78.31	2
Notch2	E	3v79_K	0.222333	77.73	4
Usp8	E	2gwf_A	0.230400	77.71	2
Rpa3	E	1l1o_A	0.382250	76.86	3
Inppl1	E	2kso_B	0.069800	76.32	2
Bid	E	4zig_B	0.295900	76.19	2
Vasp	E	2pbd_V	0.228050	74.42	3
Ska3	E	4aj5_1	0.553950	74.26	3
Gadd45gip1	E	3j9m_q	0.364157	73.87	81
Pml	E	4wjn_B	0.111300	72.41	2
Nup50	E	3tj3_C	0.299500	71.93	2
Eif6	E	5fl8_m	0.322733	71.84	45
Atf7ip	E	2rpq_B	0.129800	71.43	2
Nifk	E	2aff_B	0.153500	70.45	2
