Gene	Class	PDB chain	Coexpression	Seqid	Unique subunits
CSK	E	3d7u_A	0.103700	100.00	2
PCNA	E	1ul1_A	0.670800	100.00	2
VCL	E	4dj9_A	0.223700	100.00	2
GSTM3	E	3gtu_B	0.344200	100.00	2
CNOT1	E	4ct6_A	0.345900	100.00	2
UCHL3	E	1xd3_A	0.283600	100.00	2
TSN	E	3qb5_A	0.377700	100.00	2
UBA2	E	2px9_A	0.190300	100.00	2
PAFAH1B2	E	1vyh_A	0.228300	100.00	2
NUDT21	E	3q2s_A	0.405800	100.00	2
SMAD4	E	1u7v_B	0.452100	100.00	2
GTF2B	E	1c9b_A	0.218100	100.00	2
ARHGAP1	E	1am4_A	0.157100	100.00	2
EIF4E	E	1wkw_A	0.060700	100.00	2
ARF1	E	1r8q_A	0.333100	100.00	2
CDC42	E	3eg5_A	0.117900	100.00	2
RALA	E	1uad_A	0.301700	100.00	2
RAC1	E	1foe_B	0.093300	100.00	2
ILK	E	2kbx_A	0.206300	100.00	2
RAB7A	E	1vg9_B	0.257400	100.00	2
VTA1	E	2lxm_A	0.431400	100.00	2
EPRS	E	5a34_A	0.405700	100.00	2
CALM1	E	1cff_A	0.166300	100.00	2
CLINT1	E	2v8s_E	0.188200	100.00	2
TSG101	E	1s1q_A	0.167600	100.00	2
CDC37	E	2k5b_B	0.235100	100.00	2
NUTF2	E	5bxq_A	0.330700	100.00	2
SCP2	E	2c0l_B	0.062800	100.00	2
USP5	E	2g45_A	0.176400	100.00	2
RNF25	E	5d1k_B	0.119000	100.00	2
GTF2F2	E	1f3u_A	0.169000	100.00	2
TNFRSF10B	E	1d0g_R	0.108200	100.00	2
PSMD4	E	2kde_A	0.212200	100.00	2
BMI1	E	2ckl_A	0.206600	100.00	2
UPF3B	E	1uw4_A	0.450300	100.00	2
SIN3A	E	1s5r_B	0.223500	100.00	2
DYNLL1	E	1f96_A	-0.044300	100.00	2
BANF1	E	2odg_A	0.159100	100.00	2
EXOC2	E	1uad_C	0.301700	100.00	2
LRPAP1	E	2fyl_A	0.111000	100.00	2
HMGB1	E	2ly4_A	0.212800	100.00	2
PLAA	E	2k8b_B	0.171200	100.00	2
PABPC1	E	2rqg_B	0.203400	100.00	2
LRP1	E	2fyl_B	0.111000	100.00	2
GMNN	E	2wvr_A	0.458800	100.00	2
CLIP1	E	2e4h_A	0.046600	100.00	2
LIMS1	E	2kbx_B	0.206300	100.00	2
ARHGEF7	E	1zsg_A	0.139600	100.00	2
FDX1	E	3n9y_C	0.134700	100.00	2
CD2BP2	E	1syx_B	0.224300	100.00	2
SH3KBP1	E	2k6d_A	0.064800	100.00	2
MYH9	E	2lnk_C	0.187700	100.00	2
YAP1	E	3jua_B	0.221700	100.00	2
PAK4	E	2ov2_I	0.138600	100.00	2
EEA1	E	3mjh_B	0.250200	100.00	2
CALCOCO2	E	4xkl_B	0.155100	100.00	2
BAX	E	3pk1_B	0.263800	100.00	2
BAIAP2	E	4js0_B	0.073500	100.00	2
STAM	E	3f1i_C	0.010800	100.00	2
MTA1	E	4pbz_B	0.256200	100.00	2
SLC9A3R2	E	2d11_E	0.021400	100.00	2
KMT2A	E	2msr_A	0.324900	100.00	2
CHMP4B	E	3c3q_B	0.186500	100.00	2
SLC9A3R1	E	2d10_E	-0.018500	100.00	2
HCFC1	E	4n3c_B	0.131100	100.00	2
STAM2	E	5crv_C	0.058700	100.00	2
YY1	E	4c5i_C	0.327800	100.00	2
NEK9	E	5de2_C	0.128400	100.00	2
PEX19	E	3mk4_B	0.289500	100.00	2
ITCH	E	2p4r_T	0.338700	100.00	2
PXN	E	2vzg_A	0.171100	100.00	2
AHNAK	E	4drw_E	0.409500	100.00	2
NCOA5	E	2j7x_B	0.024400	100.00	2
SNX9	E	3lge_E	0.038300	100.00	2
PRDX4	E	3w8j_C	0.497600	100.00	2
FARSB	E	3l4g_B	0.418200	99.83	2
KARS	E	4ycu_A	0.430500	99.81	2
NXF1	E	4wyk_A	0.165800	99.78	2
GNAQ	E	4gnk_A	0.023900	99.72	2
USP7	E	5c6d_A	0.109100	99.69	2
RELA	E	1nfi_A	0.361400	99.67	3
PPP1CC	E	4v0w_A	0.217000	99.66	2
PTPN1	E	2b4s_A	0.101300	99.66	2
SEC24D	E	3efo_B	0.493800	99.61	3
MYO10	E	3pzd_A	0.028900	99.61	2
NR3C1	E	1m2z_A	0.249500	99.61	2
PLCG1	E	3gqi_B	0.258800	99.56	2
LXN	E	2bo9_B	-0.049800	99.55	2
TEAD1	E	3kys_A	0.374700	99.54	2
MOB1A	E	5brk_A	0.192000	99.54	2
CDC16	E	4ui9_K	0.220907	99.52	18
SEPT7	E	2qag_C	0.264950	99.52	3
HSP90AA1	E	2k5b_A	0.235100	99.52	2
UBE2K	E	3k9o_A	0.257800	99.50	2
SRP68	E	4ue5_C	0.155480	99.49	6
CBL	E	4a4c_A	0.236500	99.49	3
FMNL2	E	4yc7_B	0.119500	99.48	2
RHOA	E	1ow3_B	0.365900	99.48	2
TRIM24	E	3o34_A	-0.035600	99.46	2
CUL4B	E	4a0l_E	0.152300	99.45	4
MAPK1	E	4nif_B	0.260300	99.45	2
RAB35	E	3tw8_B	0.039600	99.45	2
MAPK14	E	4ka3_A	0.032900	99.44	2
CASP3	E	1i3o_A	0.257600	99.43	3
CAPN2	E	1kfu_L	0.213000	99.43	2
DIABLO	E	1g73_A	0.090700	99.38	2
RDX	E	3x23_A	0.138500	99.36	2
UBE2C	E	4yii_U	0.015500	99.35	2
POLR2D	E	5flm_D	0.265736	99.30	12
STK24	E	4o27_B	0.329100	99.29	3
PAFAH1B1	E	1vyh_C	0.228300	99.27	2
TPM1	E	4a7f_B	0.440700	99.26	3
CUL5	E	4jgh_D	0.185767	99.21	4
KIF23	E	3vhx_B	0.141400	99.17	2
TP53BP2	E	4a63_B	-0.040400	99.16	2
MTPN	E	2kxp_C	0.089950	99.15	3
CARM1	E	5dx1_A	0.169400	99.14	2
WDR77	E	4gqb_B	0.246100	99.13	3
PLXNA2	E	3q3j_A	0.041300	99.11	2
PPP1CB	E	1s70_A	0.307100	99.09	2
TXN	E	4ll1_B	-0.054900	99.05	2
PDPK1	E	4rrv_A	0.303500	99.04	2
AP1G1	E	1w63_A	0.010500	99.03	4
PPP2R4	E	4lac_B	0.216050	99.03	3
COPS4	E	4d18_D	0.345529	99.02	8
RAB11B	E	4ojk_A	0.073400	99.00	2
MAP2K1	E	2y4i_C	-0.013500	98.99	2
AURKB	E	4af3_A	0.375500	98.97	2
PEA15	E	4iza_B	0.263100	98.97	2
NEDD4	E	2xbb_A	0.045200	98.96	2
SPG20	E	4u7i_A	0.075600	98.95	2
VPS29	E	2r17_A	0.302100	98.91	2
CUL3	E	4eoz_B	0.256000	98.90	2
AP2A2	E	2jkr_A	0.288050	98.88	5
NUPL1	E	4jo7_A	0.411100	98.88	2
ARCN1	E	5a1y_H	0.373400	98.83	8
SF3A1	E	2dt7_B	0.341700	98.82	2
COPS5	E	4d18_E	0.343914	98.78	8
KDM2A	E	4qwn_A	0.010000	98.78	3
CAPZB	E	3aa0_B	0.225150	98.77	3
STUB1	E	2c2v_S	0.114600	98.72	3
FGF2	E	1iil_A	0.033200	98.71	2
IDE	E	2g49_A	-0.021400	98.69	2
BCAR1	E	3t6g_B	0.031000	98.69	2
BUB1	E	4a1g_A	0.766000	98.68	2
STK26	E	4fzd_B	0.455800	98.59	3
CBFB	E	3wtx_B	0.299400	98.59	3
IKBKG	E	3brt_B	0.165800	98.53	2
PRDX1	E	2rii_A	0.208000	98.49	2
PPP1CA	E	3egh_A	0.217400	98.48	3
NUP62	E	3t97_A	0.166800	98.44	2
ALDOA	E	2ot0_A	0.150600	98.35	2
SNRNP70	E	4pjo_K	0.088557	98.33	9
GOLGA4	E	1upt_B	0.250400	98.33	2
DR1	E	1jfi_B	0.210100	98.32	3
ASF1A	E	2io5_A	-0.037900	98.29	3
RAB1B	E	4hlq_B	0.210400	98.29	2
RAB8A	E	3qbt_A	0.066100	98.28	2
MYO6	E	2bki_A	0.078000	98.25	2
RPS29	E	4v6x_Ad	0.577121	98.21	82
CAPZA1	E	5afu_K	0.187200	98.18	22
GABPA	E	1awc_A	0.181200	98.18	2
RAN	E	1rrp_A	0.211600	98.04	2
CNOT2	E	4c0d_B	0.110400	98.01	3
YWHAZ	E	4ihl_A	0.243100	97.87	2
EMD	E	2odg_C	0.159100	97.87	2
UBL4A	E	4wwr_B	0.192500	97.87	2
RARS	E	4r3z_B	0.327500	97.78	3
TCP1	E	3iyg_A	0.528686	97.73	8
VPRBP	E	4z8l_A	0.090200	97.71	3
CCT8	E	3iyg_Q	0.556886	97.66	8
NAPA	E	3j96_G	0.091667	97.64	5
STXBP1	E	4jeu_A	0.116500	97.63	2
PTPN11	E	4jeg_A	0.273300	97.58	2
RANBP1	E	1k5d_B	0.609400	97.51	3
NPLOC4	E	2pjh_A	0.332000	97.50	2
NUP54	E	4jo7_B	0.411100	97.50	2
EIF4E2	E	2jgb_A	0.267400	97.44	2
RAB11FIP2	E	3tso_C	-0.127400	97.33	2
FKBP4	E	4drj_A	0.144300	97.22	2
NEK7	E	5de2_A	0.128400	97.10	2
KIF11	E	4aqv_C	0.038650	97.05	3
DCP1A	E	4b6h_A	0.139800	97.01	2
QARS	E	4r3z_C	0.233150	97.00	3
PAFAH1B3	E	1fxw_A	0.036800	96.98	2
MARS	E	4bl7_A	0.281200	96.98	2
MAT2B	E	4ndn_E	0.243200	96.90	2
PPP1R8	E	3v4y_B	0.192800	96.77	2
PRPF4	E	1mzw_B	0.333900	96.77	2
GNA13	E	3cx7_A	0.165000	96.75	2
GRB2	E	1gcq_A	0.255100	96.72	2
PPP1R12A	E	1s70_B	0.307100	96.66	2
VPS26A	E	4p2a_A	0.123200	96.64	2
UBE2D3	E	2fuh_A	0.317100	96.58	2
SMC1A	E	2wd5_A	0.479000	96.57	2
YWHAG	E	4j6s_A	-0.019600	96.47	2
PARD3	E	4dc2_Z	0.144700	96.43	2
ARL3	E	3bh7_A	0.067600	96.34	2
YWHAB	E	4gnt_A	-0.114300	96.33	2
AIMP2	E	5a34_B	0.405700	96.25	2
UBR5	E	2qho_B	0.190800	96.23	2
NSFL1C	E	1s3s_G	0.406700	96.06	2
AFF4	E	4ogr_C	0.268300	96.00	4
SF1	E	4fxw_B	0.283800	95.97	2
VPS16	E	4bx9_C	0.087500	95.96	2
TXNRD1	E	3qfb_A	0.334300	95.95	2
RAB22A	E	1z0j_A	0.242700	95.88	2
ARL2	E	3doe_A	0.145800	95.83	2
FLNC	E	2k9u_A	0.184800	95.80	2
ARL1	E	4dcn_A	0.154800	95.78	2
ARPC1B	E	3rse_C	0.367917	95.70	8
NUP50	E	3tj3_C	0.461800	95.61	2
PRKAR2A	E	2hwn_A	0.327200	95.56	2
PRKCI	E	1wmh_A	-0.065400	95.51	2
KIF2C	E	3edl_D	0.042800	95.17	3
MYO1B	E	4l79_A	0.029100	95.16	2
TOM1	E	1wrd_A	0.000000	95.15	2
SNRPC	E	4pjo_L	0.411157	95.08	9
UBE4B	E	3l1z_B	0.336200	95.00	2
SRPR	E	2go5_1	0.233100	94.59	7
MRPL55	E	3j9m_m	0.297565	94.53	81
PDCD6IP	E	3c3q_A	0.186500	94.47	2
B4GALT1	E	4l41_C	0.066700	94.43	2
MAP1LC3B	E	2z0d_B	0.114000	94.40	2
CKS2	E	4y72_C	0.662500	94.05	3
IKBKB	E	3brv_A	0.165800	93.75	2
PML	E	4wjn_B	0.093600	93.10	2
MYO5A	E	1w7j_A	-0.018500	93.08	2
SAP30	E	2ld7_A	0.082900	92.55	2
SRPRB	E	2go5_2	0.299533	92.52	7
SUPT5H	E	3h7h_B	0.051300	92.45	2
RAE1	E	3mmy_A	0.277500	92.39	2
PSMD10	E	2dvw_A	0.251200	92.21	2
POLB	E	3k75_D	0.044300	92.06	2
PPME1	E	3c5w_P	0.161450	91.61	3
STX12	E	2nps_B	0.246400	91.55	4
PPP1R10	E	4moy_B	0.149200	90.91	2
SHC1	E	2l1c_A	0.118100	90.52	2
UBQLN1	E	2jy6_B	0.245400	90.38	2
LAMC1	E	1npe_B	0.357100	90.24	2
BAG2	E	3cqx_C	0.298100	89.77	2
HSPE1	E	4pj1_1	0.741600	89.47	2
CACYBP	E	2jtt_C	0.028800	88.57	2
TWF1	E	3daw_B	0.073800	87.80	2
CUL2	E	4wqo_D	0.141567	87.63	4
TERF2IP	E	3k6g_A	0.257700	87.39	2
UBE2I	E	3uip_A	0.303333	86.71	4
COX17	E	2l0y_B	0.304400	86.57	2
UCHL1	E	3kw5_A	0.023700	85.53	2
NUP153	E	3gj6_B	0.273800	85.29	2
ZMYND11	E	4n4h_A	0.067500	84.92	2
PDIA6	E	3w8j_A	0.497600	84.51	2
SLBP	E	4qoz_C	0.296800	83.33	2
STX8	E	1gl2_D	0.255267	83.08	4
SNRPG	E	4pjo_G	0.450600	82.89	9
OTUB1	E	3von_A	0.429500	82.46	3
CLGN	E	3ici_C	0.013000	81.58	2
NOTCH2	E	3v79_K	0.185800	77.73	4
EIF6	E	2x7n_B	0.193900	75.45	3
EXOSC4	E	2nn6_B	0.311500	73.90	9
DAB2	E	3h8d_E	0.018100	72.92	2
CAST	E	3bow_C	0.296050	71.58	3
