mouse human
Q9D1R1 Q8IUX1
Q3TJD7 Q9NR12
Q9JHU9 Q9NPH2
P19157 P09211
Q9D358 P24666
Q8BMJ3 P47813
Q6NVF9 Q16630
P62264 P62263
F8VPU2 Q9Y4F1
Q91ZU1 Q9NWX5
O35737 P31943
Q61249 P78318
Q8R123 Q8NFF5
P97477 O14965
Q9D0T1 P55769
P35564 P27824
P13864 P26358
Q5SWW4 Q9UHV7
Q9ERS2 Q9P0J0
Q3TL26 Q9H5Q4
P62702 P62701
Q99LB7 Q9UL12
P59999 P59998
Q8BUV3 Q9NQX3
Q9ERK4 P55060
Q99L85 Q8TE02
Q8BGQ7 P49588
Q60778 Q15653
P47713 P47712
Q91YX5 Q92604
Q8K2X3 Q9H668
Q8BYA0 Q9BTW9
Q9DCW4 P38117
Q9JIK5 Q9NR30
Q9Z247 O95302
Q9JIF7 P53618
Q8K0C4 Q16850
Q5EBP3 Q96C12
Q02248 P35222
Q8VE37 P18754
P45376 P15121
Q9EQH3 Q96QK1
Q8BJ05 Q6PJT7
P53995 Q9H1A4
Q9Z0S1 O95861
Q9DCU6 Q9BYD3
Q80WQ6 Q6PJF5
Q9CQA3 P21912
P61089 P61088
Q8BGA9 Q15070
P59470 Q9NW08
Q9DAS9 Q9UBI6
Q61206 P68402
Q9CPW7 Q96NC0
P28656 P55209
P06801 P48163
P62311 P62310
Q8BMS1 P40939
P84228 Q71DI3
Q9D4H8 Q13617
Q9CYA6 Q6NZY4
P49312 P09651
Q9DCM0 O95571
Q62388 Q13315
Q61881 P33993
Q8BHF7 Q32NB8
Q6NZM9 P56524
O70274 Q12974
Q91XU3 Q8TBX8
Q9WVE8 Q9UNF0
Q99KI0 Q99798
P62754 P62753
Q924H7 Q9BTA9
P70441 O14745
P83093 Q9P246
P07356 P07355
Q14C51 Q96EY7
Q9JI44 Q9NPF5
Q6PAM1 P40222
P62869 Q15370
Q99K28 Q8N6H7
Q8R2M2 Q5QJE6
Q5SX39 Q9Y623
Q6P5F9 O14980
P53811 P48739
Q99MR1 O75420
Q9D0M3 P08574
Q61559 P55899
Q8CDN6 O43396
Q6ZQ38 Q86VP6
O70433 Q14192
Q62018 Q6PD62
Q61166 Q15691
Q9WUM5 P53597
O35874 P43007
Q8BUN5 P84022
Q99LG0 Q9Y5T5
Q91Z67 P0DJJ0
Q91Z67 P0DMP2
Q9EQ80 Q9GZT8
Q99LN9 Q9BU89
Q8VDM4 Q13200
Q8VEH6 A6NM15
Q8VEH6 Q4V339
Q8VEH6 Q9BRT8
O08915 O00170
Q9D1C9 Q9Y3A4
P57784 P09661
O08810 Q15029
Q91VT1 Q96MF7
Q91Z96 Q9NSY1
P30285 P11802
P70700 Q9H9Y6
P63094 O95467
P63094 Q5JWF2
P63094 P84996
P63094 P63092
A6H5Y3 Q99707
P62814 P21281
P52432 O15160
P14824 P08133
Q9WVF7 Q07864
Q80TA6 Q9C0I1
Q9Z1M8 Q13123
Q9CXW2 P82650
P59235 Q8NFH3
Q8VIJ6 P23246
Q08288 Q9NX58
Q8K021 O15126
Q7TQH0 Q8WWM7
Q9CPP0 O75607
P18242 P07339
P97742 P50416
Q9JLQ2 Q14161
Q9D906 O95352
P34884 P14174
Q9CQR2 P63220
Q9DC69 Q16795
Q8BJW5 Q9H8H0
B2RXC1 Q7Z392
Q7TSY8 Q562F6
P23249 Q9HCE1
O88685 P17980
P35235 Q06124
Q5U3K5 Q3YEC7
Q9JKF1 P46940
Q6NVE9 Q8NI37
P08207 P60903
Q923B1 Q9UK59
Q9Z1K5 Q9Y4X5
Q91ZJ5 Q16851
Q60855 Q13546
P70270 Q92698
Q9CPQ3 Q9NS69
Q91V76 Q9H0W9
P63005 P43034
Q9Z1E3 P25963
Q62425 O00483
P63260 P63261
Q3UUQ7 Q75T13
P62301 P62277
Q9D7N9 Q9HDC9
P61358 P61353
Q3TGF2 Q9H098
Q8K327 Q96JM3
P61021 P61020
P09055 P05556
Q07797 Q08380
A2AQ19 Q92541
Q6ZPJ3 Q9C0C9
P60229 P60228
Q9Z315 O43290
Q9WV98 Q9Y5J7
Q9ESL4 Q9NYL2
Q9CWU9 Q8NFH4
Q6ZQ08 A5YKK6
Q9CRT8 O43592
P63158 P09429
Q62245 Q07889
P35486 P08559
Q6NVF4 Q8NG08
Q61024 P08243
Q9WVM1 Q9H0H5
Q9JHW4 P57772
Q8CI51 Q96HC4
Q8R3Q6 Q4VC31
Q6ZQH8 Q5SRE5
Q9CPV4 Q9HC38
P42125 P42126
Q8BMA6 Q9UHB9
Q9DCH4 O00303
Q8BW10 Q9ULX3
Q3TUU5 Q5JUR7
Q4FZF3 Q9Y6V7
B9EJR8 Q86Y56
Q9DBG5 O60664
Q6ZQF0 Q92547
O08784 Q13428
Q08639 Q5H9I0
P14869 P05388
Q9JKN1 Q8NEW0
Q91YJ2 O95219
Q60967 O43252
B1AQJ2 Q9P275
Q99LI5 Q9Y2X9
Q9JLB2 Q8N3R9
Q64430 Q04656
Q62419 Q99961
Q9DC33 Q9NP66
Q8BHN3 Q14697
Q7TPD0 Q68E01
Q9JJE7 Q9Y5Q0
Q9CZU6 O75390
Q9CUX1 O43422
Q9CQV6 A6NCE7
Q9CQV6 Q9GZQ8
Q61035 P12081
Q9CYX7 Q9Y3B9
O88958 P46926
P14576 P61011
O88441 O75431
Q8BKX1 Q9UQB8
Q7TPR4 P12814
P67871 P67870
Q9R0B9 O00469
P80315 P50991
Q80X90 O75369
Q3TIX9 Q53GS9
Q99JZ7 Q9UJM3
Q61666 P54198
Q8BH59 O75746
Q6PGC7 Q7Z769
Q99MU3 P55265
Q00PI9 Q1KMD3
Q3UQN2 Q0JRZ9
P97930 P23919
P59016 Q9H267
Q91WG4 Q6IA86
Q60865 Q14444
Q99LB2 Q6PKH6
Q99LB2 Q9BTZ2
Q8BZA9 Q9NQ88
Q8VDN2 P05023
Q9D6K9 Q8N5B7
Q8QZT1 P24752
Q8K1N2 Q86SQ0
P30416 Q02790
Q62446 Q00688
P62331 P62330
Q9DCA5 Q8TDN6
P21126 P11441
Q8K1J5 Q6IQ49
B2RUR8 Q6GQQ9
Q9D787 Q13356
Q99ME9 Q9BZE4
Q6ZPF4 Q8IVF7
P51807 P63172
Q9D892 Q9BY32
Q8CIN4 Q13177
P24369 P23284
Q9QZD9 Q13347
Q8VBT0 Q9H3N1
Q9D125 P82663
Q9CPU0 Q04760
Q6PFQ7 C9J798
Q3UPL0 O94979
O35900 Q9Y333
Q8R409 O94992
Q9CR51 O75348
Q6ZWY3 Q71UM5
A2APB8 Q9ULW0
Q8BHC4 Q8WVC6
Q9R1K5 Q9UM11
Q6P6M7 Q9HD40
P60122 Q9Y265
P39054 P50570
Q8C4J7 Q12788
Q9Z2X8 Q14145
Q505D1 O15084
Q05CL8 Q4G0J3
Q99L04 Q96LJ7
Q8R0H9 Q9UJY5
Q6ZPG2 Q96KV7
O55028 O14874
Q9D1P0 Q9BYD1
P21995 Q6PCB8
Q9CR57 P50914
Q8C3X8 Q9BU23
Q3URQ0 Q9NXF1
P99027 P05387
Q8BIW1 Q86TP1
Q99L45 P20042
O88796 P78346
Q62422 Q92882
P56135 P56134
P47857 P08237
Q9DCC4 Q53H96
O55135 P56537
P97825 Q9UK76
P84096 P84095
Q62093 Q01130
O08749 P09622
Q99MK9 Q9NS23
P28658 Q9UBB4
Q9R1P3 P49721
P58468 Q9NSI2
Q6NS46 Q14690
P09411 P00558
Q9CPQ8 O75964
Q9CPQ8 Q7Z4Y8
D3YXK2 Q15424
Q91YU8 Q9NQ55
Q8CCH7 Q8WW38
Q9R0P3 P10768
Q9CQS8 P60468
Q9DBH5 Q12907
Q9WUQ2 Q9HCU5
Q61074 O15355
P62774 P58546
Q8CFX1 O95479
O88811 O75886
P61961 P61960
Q61069 P22415
Q61001 O15230
Q8VCS6 Q9NWA0
Q3TTY0 Q6P1J6
Q9DB42 O00488
P17751 P60174
Q9JIB0 Q9HD47
Q8QZY9 Q15427
Q91WE1 Q9NRS6
Q5FWK3 Q07960
Q62159 P08134
P33174 O95239
P33174 Q2VIQ3
Q3V1V3 Q9H501
Q8CE46 Q9H0K6
Q62241 P09234
Q8K339 O60870
Q8R480 Q9BW27
P07742 P23921
Q9CQQ4 O14893
Q640M1 Q5TAP6
Q8K3K8 Q96CV9
Q3UMB9 Q2M389
Q9Z2D8 O95983
Q9JJI8 P63173
Q9CQU5 O95229
Q9R0X4 Q9Y305
Q91W67 Q96S82
Q8K284 Q12789
Q922D8 P11586
Q6ZWY9 Q99879
P25206 P25205
Q8C145 Q13433
Q8C0N2 Q53EU6
Q3TIU4 Q6L8Q7
Q9D3U0 Q3MIT2
Q8VEK3 Q00839
Q6PE01 Q96DI7
O89050 Q9UL63
Q60715 P13674
Q62167 O00571
Q5U4D9 Q86W42
P43135 P24468
Q9DBC3 Q8N1G2
Q9CQH8 O95059
Q8R080 Q9NYZ3
Q8BIJ6 Q9NSE4
Q9Z266 O95295
P63028 P13693
Q9CQ62 Q16698
Q62189 P09012
P41241 P41240
Q99LM2 Q96JB5
Q8C4B4 A6NIH7
Q99LS3 P78330
Q91VJ5 O60828
Q80WQ2 Q08AM6
P81122 Q9Y4H2
Q9JK92 Q9UJY1
Q3TDN2 Q96CS3
Q9CW03 Q9UQE7
P54071 P48735
Q3U0V1 Q92945
O88879 O14727
O09172 P48507
Q91VN6 Q9UJV9
Q6P1G0 Q6AI08
Q91ZE0 Q9NVH6
Q8VC85 O15116
Q8QZY1 Q9Y262
Q8R4X3 Q9NTZ6
O88952 Q9NUP9
Q64261 Q00534
Q3UL36 Q9NWB6
Q9ESX5 O60832
P63147 P63146
Q9D8P4 Q9NRX2
P60330 Q14674
Q9CWK3 O95400
P19182 O00458
P14685 O43242
Q3UGR5 Q9H0R4
Q9Z179 Q8NEM2
Q80UJ7 Q15042
Q9CQ22 Q6IAA8
P16675 P10619
A2A5R2 Q9Y6D5
Q8K3W0 Q9NXR7
P49615 Q00535
P97310 P49736
Q64511 Q02880
Q920E5 P14324
Q9WUR9 P27144
P22437 P23219
Q8VEL2 Q8NCE2
P62274 P62273
Q93092 P37837
P63017 P11142
P49722 P25787
P36552 P36551
Q9WTX2 O75569
Q9CRD2 Q15006
A2RSJ4 A0JNW5
Q8K1R3 Q8TCS8
P61028 Q92930
Q8BKE6 Q6UW02
Q4VAA2 Q9UKY7
Q9JL15 O00214
Q6DID3 Q9UPN6
Q5F2E8 Q7L7X3
P24527 P09960
Q8BVY0 O76021
P05201 P17174
Q922W5 P32322
Q8C570 P78406
Q6PGH2 Q9H910
Q9Z277 Q9UIG0
P70428 Q93063
Q9D0R8 Q3MHD2
Q810L4 Q9GZU3
Q9CXW4 P62913
Q91WM3 O43818
P47911 Q02878
Q921I9 Q9NPD3
Q61576 Q96AY3
Q9JKP5 Q9NR56
Q9D710 Q9Y320
Q99MR8 Q96RQ3
Q9Z1Z2 Q9Y3F4
P63101 P63104
Q9CQT1 Q9BV20
Q6ZQA6 O75054
Q3V1T4 Q32P28
Q9JM76 O15145
Q9CR59 Q8TAE8
Q99LD9 P49770
Q8BFR4 P15586
Q9JI10 Q13188
Q9D071 Q96T76
Q9D1Q4 Q9P2X0
Q80U95 Q15386
Q9DBJ1 Q8N0Y7
Q9CZD3 P41250
Q3UQ28 Q92626
A2AHC3 Q5T5Y3
E9PZM4 O14647
Q8CGC4 Q9BX40
Q3UMB5 Q8TEV9
Q6ZQ06 Q5TB80
Q80X95 Q7L523
O35134 O95602
Q9DAP7 Q9NVP2
P16125 P07195
Q61107 Q8N8V2
Q61107 Q96PP9
Q8BHY2 Q9BVI4
Q9CQU0 O95881
P63280 P63279
Q9ES00 O95155
Q8CJF7 Q8WYP5
Q9D706 Q9H6T3
E9Q735 Q14139
P53996 P62633
P14733 P20700
Q8BFW7 Q93052
Q3URU2 Q9GZU2
Q9CQ06 Q96A35
Q8VDM6 Q9BUJ2
P06795 P08183
Q8BTI9 P42338
P46638 Q15907
P54822 P30566
Q3UMC0 Q8NB90
Q9CWR7 Q6NZ63
Q8BH69 P49903
B2RWS6 Q09472
Q6PHQ8 Q5VZE5
Q60953 P29590
O88342 O75083
Q8R4Y8 Q86VV8
Q60973 Q16576
O35295 Q96QR8
P0CG14 P0CG12
P0CG14 P0CG13
Q9EQQ9 O60502
Q9ES46 Q9HBI1
Q61029 P42167
Q61029 P42166
Q61033 P42167
Q61033 P42166
Q9D1I6 Q6P1L8
Q61458 P51946
Q8C7R4 A0AVT1
Q8BUK6 Q86VS8
Q9CR02 Q96EY4
Q80U44 Q7Z3T8
A2A432 Q13620
Q921Y0 Q9H8S9
Q9CQZ5 P56556
Q9CWI3 Q9P287
Q9JKV1 Q16186
P97311 Q14566
P26516 P51665
Q08369 P43694
Q62376 P08621
Q99LC5 P13804
Q52KE7 Q9UK58
Q9D1B9 Q13084
P26645 P29966
Q9Z0E6 P32456
Q99P31 Q9NZL4
Q08509 Q12929
Q6P073 Q8N2K1
P52480 P14618
Q9CQ92 Q9Y3D6
O08582 O00178
Q9CX34 Q9Y2Z0
Q3TW96 Q3KQV9
Q9CPY3 Q96FF9
P60867 P60866
Q9R062 P46976
Q62481 Q15906
Q8BGT5 Q8TD30
Q64521 P43304
P16254 P37108
Q9QXD8 Q9UGP4
Q91VZ6 Q8IYB5
Q61553 Q16658
Q8K0Z7 Q9BSH4
Q9CY50 P43307
Q9CX60 Q53QV2
Q7TT37 O95163
O35316 P31641
Q7TMQ7 A4D1P6
O08848 P10155
Q91VJ1 O14862
Q69ZS7 Q9Y450
Q8K3C3 Q8WZA0
Q8BX02 Q63ZY3
P20029 P11021
Q8R2U4 Q9BV86
Q9CX11 Q9BRU9
Q922Q4 Q96C36
Q61187 Q99816
P60335 Q15365
P14901 P09601
P55258 P61006
Q9CX97 Q9H6Y2
Q8BH86 Q7Z3D6
P58801 O43353
Q91ZW3 O60264
Q5PRF0 Q86XA9
Q9D8C4 P80217
Q8K2A7 Q9NVR2
O35857 O43615
Q9JIY5 O43464
Q8VHZ7 Q96G21
P80314 P78371
Q8R5C5 P42025
Q8BWT5 Q14689
Q9WTX8 Q9Y6D9
Q3KNM2 Q9NX47
Q9D2R0 Q86V21
Q6GQT9 Q15155
Q6GQT9 P69849
A6X8Z5 Q2M1Z3
P56812 O14737
Q62261 Q01082
Q8C2Q3 Q96PK6
Q8R089 Q9HAH7
Q8CIB5 Q96AC1
Q61103 Q92785
Q921F2 Q13148
Q921T2 Q5JTV8
Q60932 P21796
Q922F4 Q9BUF5
O35704 O15269
Q3TIV5 Q8WU90
P07091 P26447
Q6PEV3 Q8TF74
O35114 Q14108
Q99N92 Q9P0M9
Q3TZZ7 A0FGR8
Q9CXW3 Q9HB71
E9Q9D5 Q9UNT1
Q3UH60 Q9P265
Q9DAR7 Q96C86
O35382 Q96A65
Q6PDK2 O14686
Q9Z160 Q8WTW3
Q9QUR6 P48147
P61202 P61201
Q99N87 P82675
B2RRE7 Q01804
B2RQC6 P27708
Q9CXG3 Q8WUA2
O70126 Q96GD4
Q8BMJ2 Q9P2J5
Q60692 P28072
Q8BU33 A1L0T0
Q8R1V4 Q7Z7H5
O09131 P78417
Q8K2V6 Q9UI26
Q9CWW6 Q9Y237
P35293 Q9NP72
P84244 P84243
P50580 Q9UQ80
Q60749 Q07666
P62737 P62736
Q9DB34 O43633
P10639 P10599
Q925I1 Q5T9A4
Q9CWP6 Q8NHP6
P18155 P13995
Q6ZPE2 O95248
Q9JIB4 Q13888
Q64133 P21397
Q8BHX3 Q53HL2
P97429 P09525
Q4FK66 Q8NAV1
Q9QYB1 Q9Y696
Q8VHK9 Q9H2U1
P30681 P26583
P50247 P23526
Q9CQ69 O14949
P24788 Q9UQ88
Q04692 Q9H4L7
P84084 P84085
P61982 P61981
O88738 Q9NR09
O35381 O95626
Q9EP69 Q9NTJ5
Q9DBX2 Q13371
G3X9K3 Q9Y6D6
Q9CY58 Q8NC51
Q64302 P30408
Q8K4Z3 Q8NCW5
Q9Z104 Q9P0W2
Q80Y98 O94830
Q03265 P25705
Q8C0E3 Q96LD4
P53810 Q00169
Q07076 P20073
Q8BJL1 Q8TB52
Q8R0G9 Q8WUM0
Q8R570 Q5SQN1
Q9QXE7 Q9BQ87
Q9QXE7 O60907
Q8K0D0 Q00537
Q8BMQ2 Q9UKN8
Q9DBE9 Q8IY81
P00493 P00492
Q8CG48 O95347
Q8BJ71 Q8N1F7
Q8BLY2 A2RTX5
Q8JZU2 P53007
P21279 P50148
P57759 P30040
Q9JHI5 P26440
Q9CPR5 Q9P015
P40336 O75436
O88967 Q96TA2
Q9CR68 P47985
Q9CZ44 Q9UNZ2
P11499 P08238
P15116 P19022
P59325 P55010
Q60520 Q96ST3
P67778 P35232
Q61333 Q03169
Q62186 P51571
Q80WJ7 Q86UE4
Q8BUR4 Q14185
Q8R4U7 Q86V48
O55201 O00267
P52875 Q9HC07
Q6PDM2 Q07955
Q9D666 O94901
Q8R180 Q96HE7
Q80U72 Q14160
O54782 Q9Y2E5
Q9ESJ0 Q9C0E2
Q6PD26 Q96S52
Q8BG81 Q9BY77
Q91YD9 O00401
Q99MN1 Q15046
Q9CZ13 P31930
P70303 Q9NRF8
Q8C878 Q8TBC4
Q9CQB5 Q8N5K1
O88569 P22626
Q8BY46 Q6ZN55
Q9DC23 Q8IXB1
Q8K298 Q9NQW6
Q9DCL9 P22234
Q99020 Q99729
Q78JE5 Q8NEZ5
Q6NZB0 O75937
Q91W39 Q9HCD5
Q5EG47 Q13131
P97813 O14939
Q9CPN8 O00425
O88428 O95340
Q640N1 Q8IUX7
Q99JF8 O75475
P61027 P61026
Q8BY71 O14929
Q8C547 Q9P2D3
Q9ER41 O14657
P27773 P30101
Q60676 P53041
Q9CT10 Q9H6Z4
Q9QYR9 P49753
Q9QYR9 Q86TX2
P70349 P49773
Q8R0A0 P13984
Q6ZQL4 Q15061
Q99J10 Q7Z7A3
Q3U1V6 Q8IX04
Q8K2T8 Q8N7H5
P11157 P31350
P70168 Q14974
Q9CPV5 Q6P1K2
Q8BKF1 O00411
Q3TYS2 Q9BQA9
Q91XV3 P80723
Q9Z207 Q9NSV4
P52431 P28340
Q3B7Z2 P22059
Q8R361 Q9BXF6
Q921L5 Q14746
Q00422 Q06546
A2AWA9 Q9Y3P9
Q3U7U3 Q9Y3I1
P17918 P12004
Q9D2C6 Q9Y535
Q4VA53 Q9NTI5
A2BDX3 O95396
P62908 P23396
Q6P1H6 Q86XL3
O35286 O43143
Q8BGT7 O75940
Q8R5H1 Q9Y4E8
O55098 O94804
Q9JIH2 Q9UKX7
P50431 P34896
O08739 Q01432
Q9D1H7 Q7L5D6
Q99KI3 Q9P0I2
Q9DC28 P48730
O35226 P55036
Q3UFM5 Q5C9Z4
Q62351 P02786
P48036 P08758
P11276 P02751
Q9EP72 Q9NPA0
Q9R118 Q92743
P31324 P31323
Q6DID7 Q5T9L3
Q99P72 Q9NQC3
Q9WUA2 Q9NSD9
Q61425 Q16836
Q9Z2M7 O15305
Q8CJG0 Q9UKV8
Q80TE0 Q9BWH6
Q9CQM9 O76003
P84078 P84077
Q8K0C1 O94829
Q91V41 P61106
Q923D4 Q9BWJ5
Q9JHJ3 Q8WWB7
Q91WS0 Q9NZ45
P23591 Q13630
Q80V26 Q9NX62
Q9CS74 O95905
Q9Z1Y4 Q15654
P52479 Q14694
P35822 Q15262
Q9CXY6 Q12905
Q9DBH0 O00308
Q9DB25 Q9Y673
Q5NCQ5 Q9BZG8
Q9D903 Q99848
Q9CZ30 Q9NTK5
P46460 P46459
O08807 Q13162
Q99LX0 Q99497
Q8JZQ2 Q9Y4W6
O35593 O00487
Q80W68 Q96J84
Q9CWF2 Q9BVA1
Q99JI4 Q15008
Q8CGK3 P36776
Q8VDM1 Q8N5A5
Q91YW3 Q13217
P10852 P08195
Q9D819 Q15181
Q3TBW2 Q7Z7H8
Q5SSI6 Q9Y5J1
P60710 A5A3E0
P60710 P60709
Q9D7J9 Q96DC8
P10922 P07305
Q6NSQ7 Q96GA3
Q6PAJ1 P11274
Q9Z2G6 Q9UBV2
Q64442 Q00796
P62137 P62136
P20664 P49642
P97314 Q16527
Q8BH74 P57740
P62874 P62873
P47740 P51648
Q9R099 Q9Y4P3
Q9Z0W3 Q12769
Q9DCE5 Q9NWT1
E9Q5K9 Q96MU7
B1AVZ0 Q96BW1
Q9Z2Y8 O94903
Q63918 O95810
Q8CBQ5 Q8TCG2
Q9WTK5 Q00653
P63166 P63165
P24638 P11117
P27048 P14678
Q9D786 O94927
P55096 P28288
P63073 P06730
Q61586 Q9HCL2
Q9CZE3 Q13637
P10605 P07858
Q02614 Q9UHR5
Q8BHJ9 O95391
Q8BJS8 Q96DY7
Q8BM39 Q99633
Q8K2Q0 Q9P000
Q921M7 Q9NUQ9
O35955 P40306
Q8VBV7 Q99627
Q9CX86 Q13151
O70503 Q53GQ0
Q9CXF4 Q8TC07
Q91W86 Q9H270
Q6ZQ88 O60341
Q922M5 Q96GN5
A6H5Z3 Q9Y2D4
Q8VBT9 Q9BZE9
Q99MJ9 Q9BQ39
Q06185 P56385
P23242 P17302
A2AM29 P42568
O08734 Q16611
Q8JZR0 Q9ULC5
P23949 P47974
Q8VD65 Q99570
P19096 P49327
P28271 P21399
Q8BG30 Q9H3P2
Q9CQ19 P24844
P41731 P08962
A8C756 Q6YHU6
Q61102 O75027
Q99K48 Q15233
O89086 P98179
Q9QXB9 P55039
Q91W69 Q9H201
Q9CZW5 O94826
Q8CE33 Q9NVR0
O35127 Q99622
Q61771 O15066
Q6P1F6 P63151
Q91VE0 Q6P1M0
Q9R0P5 P60981
P54731 Q9UNN5
P70206 Q9UIW2
Q99JX4 Q7L2H7
P45878 P26885
Q8K3A9 Q7L2J0
P19253 P40429
Q9D8U8 Q9Y5X3
Q922B2 P14868
O70318 O43491
D3YZP9 Q16204
O55029 P35606
P00375 P00374
P00375 Q86XF0
Q61686 P45973
Q8CDM8 Q5W0V3
Q9CQJ8 Q9Y6M9
P15975 Q70EK8
Q9WV03 Q14320
O35685 Q9Y266
Q61235 Q13425
Q6PGL7 Q641Q2
Q922Q2 Q9BRS2
P24547 P12268
P61406 Q86US8
P05627 P05412
Q9Z2X1 P52597
Q9Z2D0 Q96QG7
P05064 P04075
O88668 O75629
P51881 P05141
Q91XL2 Q8N448
Q9DBG3 P63010
O54941 Q969G3
Q9ERG0 Q9UHB6
Q9CYH6 Q15050
Q8CDJ8 Q9Y6Q2
Q922J9 Q8WVX9
P70195 Q99436
Q9CXS4 Q7Z7K6
Q9R1C7 O75400
Q9DC16 Q969X5
Q8C6E0 Q96G28
Q61508 Q16610
O08547 O75396
Q9CYL5 Q9H4G4
Q8K268 Q9NUQ8
Q9WVA2 O60220
P33609 P09884
P62245 P62244
P26443 P00367
P26443 P49448
Q7TPM9 Q9NXD2
Q9WUV0 O43913
Q64433 P61604
Q8C7V3 Q8TED0
Q8R574 O60256
Q9CQ85 Q9Y584
Q6A009 O94822
Q8BFR5 P49411
Q8R1N4 Q8IVD9
O88844 O75874
Q8R1N0 Q96NB3
Q8R1Q8 Q9Y6G9
Q99LF4 Q9Y3I0
P08113 P14625
Q66JV4 Q8IXT5
Q8K183 O00764
P43275 Q02539
P97454 Q99717
Q8BTW9 Q5PRF9
Q3V1H1 Q8WWK9
Q9R0E2 Q02809
Q9CWN7 Q9UKZ1
P61924 P61923
Q8CH77 Q8NEY1
Q8CH77 M0R1G4
O35640 Q5VT79
Q99KQ4 P43490
Q9D7E3 Q8WZ82
P46061 P46060
Q8BG32 O00231
Q64327 Q16626
Q9CQV7 Q96DA6
Q9CY64 P53004
Q8K1A6 Q6P1N0
Q9D023 O95563
Q9D6L8 Q9H2H8
Q9R1C6 P52429
Q80UY1 Q8N4J0
Q60597 Q02218
Q9CR39 Q5MNZ6
Q9D832 Q9UDY4
Q91WK2 O15372
Q8BZM1 Q92990
Q99ME2 Q9NNW5
P47930 P15408
Q6ZWV7 P42766
P12970 P62424
P56480 P06576
P63037 P31689
Q6NZF1 O75152
Q8BJW6 Q9BY44
P62141 P62140
Q8R0X7 O95470
Q9DBR0 O43823
P35831 Q05209
Q6TYB5 Q9UHY8
O88477 Q9NZI8
Q9Z2M6 O95164
Q80U93 P35658
P61514 P61513
Q62095 O15523
P54276 P52701
Q99JH1 Q8N5L8
Q9DBE8 Q9H553
P09405 P19338
Q6ZQI3 Q14165
Q922S8 Q99661
Q9Z0P5 Q6IBS0
Q80YD1 Q8IYB8
Q6P2B1 Q9Y5L0
Q8VCW8 Q96CM8
Q9QZK2 O75815
Q8VEH5 Q7L775
Q07813 Q07812
P05213 P68363
Q8K301 Q9Y2R4
Q80SY5 Q5VTL8
P46737 P46736
Q9CQE8 Q9Y224
O54774 O14617
A2AF47 Q5JSL3
P14131 P62249
P26040 P15311
Q8BGH2 Q9Y512
Q8R010 Q13155
Q61335 P51572
P43346 P27707
Q76N33 Q96FJ0
Q9WUK4 P35250
Q91VS8 O94887
Q9D662 Q15437
P58021 Q99805
P17095 P17096
O35215 P30046
P16045 P09382
Q91YM2 Q9NRY4
Q9JI48 Q9NZF1
Q9R207 O60934
O55022 O00264
Q923D2 P30043
Q60960 P52294
Q7TSV4 Q96G03
Q8K4Z5 Q15459
P62827 P62826
Q61749 Q9UI10
Q8K2Q7 Q5VW32
Q921W4 O95825
Q9D1D4 P49755
Q64727 P18206
Q8C0P0 Q96GX5
Q9ER88 P51398
Q3UYV9 Q09161
Q60823 P31751
Q8VE98 Q5ZPR3
Q76KJ5 O15446
Q61164 P49711
Q8C1Y8 P86791
P70404 P51553
P97868 Q7Z6E9
Q9QY30 O95342
Q91VY9 Q969S3
Q9QUH0 P35754
Q9D7G0 P60891
P35290 Q969Q5
O54743 Q12947
Q5U458 Q9NVH1
P32067 P05455
Q8QZS3 Q8NFG4
O54962 O75531
Q61768 P33176
Q78IK4 Q6UXV4
Q9JI13 Q9NQZ2
Q9JK38 Q96EK6
Q05186 Q15293
Q60767 O60449
P58389 Q15257
O35130 Q92979
P28867 Q05655
Q91YN9 O95816
Q8K363 Q9NVP1
Q99PV0 Q6P2Q9
Q9CR50 Q96PM5
P62071 P62070
Q8C1Q6 Q8WVI0
P52482 P51965
Q9DC71 P82914
Q8JZV7 Q9Y303
Q8BT60 O75131
P70302 Q13586
Q9WUA3 Q01813
Q9DAW9 Q15417
P80313 Q99832
Q8BY87 Q96K76
Q61792 Q14847
Q9QYI4 Q9NXW2
Q8BX94 Q9H1P3
P49443 P35813
Q9DCD2 Q9HCS7
P30412 P45877
Q3U5F4 Q86U90
Q5SWD9 Q2NL82
Q6IRU2 P67936
P61025 P61024
Q9CQ39 Q13503
Q62383 Q7KZ85
Q9EPB5 Q9H4I8
Q60649 Q9H078
O35972 Q16540
Q78IK2 Q96IX5
Q3TYX3 Q6GMV2
Q922Y1 Q04323
Q3U186 Q5T160
Q8K124 Q8TD55
Q921G8 Q9BSJ2
Q9D483 Q9BUI4
Q61990 Q15366
Q9DCJ5 P51970
Q9JMB0 Q5VSY0
Q8C854 Q9P2K5
Q9CQF3 O43809
Q99KU0 Q96GC9
Q811U4 Q8IWA4
Q8BU03 Q15269
Q922H4 Q96IJ6
P49135 P19447
Q91YD3 Q9NPI6
Q9QXT0 Q9Y2B0
Q9JKX6 Q9UKK9
O08715 Q92667
Q8BHK9 Q2NKX8
Q9CPX8 O14957
Q60989 Q96P09
Q9D0L8 O43148
Q99KF1 Q9BVK6
Q99P88 O75694
Q9D2G5 O15056
Q9Z2W0 Q9ULA0
Q99K51 P13797
P50543 P31949
P27808 P26572
Q99L13 P31937
Q8K5B2 Q8NI22
P11688 P08648
Q8CB77 Q14241
Q60866 Q96BW5
Q91Z31 Q9UKA9
P61211 P40616
