mouse_uniprot	mouse_entrez	human_entrez
Q8BYU6	240832	163590
Q9ER81	240832	163590
P27659	27367	6122
P70290	17524	4354
Q9QXD8	29806	8994
P17742	268373	5478
Q8K0Z7	70207	51204
Q80UK0	228071	91404
Q7TMQ7	101240	29062
O08848	20822	6738
Q91VJ1	383619	9447
Q69ZS7	56422	10767
Q8K3C3	69151	84328
Q01279	13649	1956
Q9CPW4	67771	10092
P50544	11370	37
Q9CX11	78581	84294
Q922Q4	69051	29920
Q8K3J1	225887	4728
Q61187	22088	7251
P60335	23983	5093
P14901	15368	3162
Q91VM9	74776	27068
P62806	319157	8369
P62806	102641229	8369
O54833	13000	1459
Q9DB20	28080	539
Q9DB20	102641678	539
P58801	192656	8767
Q7TNP2	73699	5519
Q91ZW3	93762	8467
Q5PRF0	320487	25938
E9Q6J5	665775	259282
Q5I1X5	333654	10848
Q8K2A7	70885	55174
Q9JIY5	64704	27429
Q8VHZ7	27993	92856
Q8R5C5	226977	10120
Q9WTX8	17120	8379
Q3KNM2	69104	54708
Q6GQT9	211548	283820
Q6GQT9	211548	23420
P19324	12406	871
Q8BP92	26611	5955
Q8C2E4	71799	100526740
Q8C2E4	71799	26024
Q921T2	208263	26092
Q60932	22333	7416
O35704	268656	10558
O89017	19141	5641
P70677	12367	836
Q8K2I1	110606	2342
A3KGB4	245638	54885
P07091	20198	6275
O35114	12492	950
P61963	71833	10238
Q91YP2	75805	57486
Q3TZZ7	52635	57488
Q9CXW3	12301	27101
E9Q9D5	68708	11159
E9Q9D5	68708	11158
Q9CR86	52502	23589
Q9WV96	14356	26515
Q148V8	105732	286077
Q8BFZ9	244373	11160
Q9Z160	16834	9382
P61202	12848	9318
P63330	19052	5515
Q99N87	77721	64969
B2RRE7	73945	54726
B2RQC6	69719	790
P70698	51797	1503
Q8BMJ2	107045	51520
P35278	19345	5878
Q60692	19175	5694
Q9CWW6	69713	5303
Q9CWW6	105247253	5303
P35293	19330	22931
P62737	11475	59
P10639	22166	7295
Q925I1	108888	219293
Q925I1	108888	83858
Q9DB34	68953	27243
P18155	17768	10797
P48722	18415	22824
Q9JIB4	23894	2966
Q6PDL0	234663	1783
Q9DBG9	76281	30851
Q8BHX3	52276	55143
Q4FK66	230596	84950
Q9QYR6	17754	4130
Q9D937	66276	102288414
Q9D937	105242733	102288414
P24788	12537	984
P24788	12537	728642
P12265	110006	2990
P84084	11844	381
O88738	12211	57448
Q9CQC6	66882	9689
Q9CRA5	66629	64083
Q9EP69	83493	22908
P51807	100310872	6993
Q8BZW8	66866	374354
Q9DBX2	67466	5082
P61255	19941	6154
Q80Y98	72108	23259
Q8BWQ6	71517	57020
Q62318	21849	10155
Q8R570	67826	116841
Q8R570	67826	100130093
Q3TIR3	101489	60626
Q8BMQ2	269252	9329
Q8CG48	14211	10592
Q9DBE9	56095	117246
Q8JZU2	13358	6576
Q8K2B3	66945	6389
Q9CPR5	27395	29088
Q8VD75	215114	3092
Q9JME5	11775	8120
Q9CR68	66694	7386
Q9Z1D1	53356	8666
Q8VDD8	68767	100287171
Q9CZ44	386649	55968
Q80UW8	66420	5434
P11499	15516	3326
Q9Z0L0	21983	7162
P15116	12558	1000
Q6P8I4	76302	57092
P59325	217869	1983
P59325	102641436	1983
Q60520	20466	25942
Q61333	21928	7127
O89079	59042	11316
Q9CWQ0	69740	51611
Q9DBC7	19084	5573
Q8BUR4	330662	1793
O55201	20924	6829
Q8BWY9	224171	57650
Q6PDM2	110809	6426
Q9D666	77053	23353
Q9DBY8	67459	4931
P47758	20818	58477
Q61127	17937	4665
Q6PD26	276846	94005
Q99JB2	66592	30968
Q91YD9	73178	8976
Q07832	18817	5347
Q9R078	19079	5564
Q9R1P1	26446	5691
Q8BKI2	213988	23112
Q9CQA5	67381	29079
P09528	14319	2495
Q8K298	68743	54443
Q99020	15384	3182
Q9WTX5	21402	6500
O08912	14423	2589
Q78JE5	71999	26263
P62806	326620	554313
P62806	102641229	554313
Q6NZB0	68598	22826
Q80VD1	68215	283742
Q9Z1T1	11774	8546
Q91W39	228869	57727
Q5EG47	105787	5562
Q3UHB1	103466	51559
Q9CPN8	140488	10643
Q6P9Q4	234686	29109
Q8R4R6	69482	129401
O88428	23972	9060
Q8VC30	225913	26007
Q922V4	53317	5356
Q99JF8	101739	11168
O35129	12034	11331
Q9CT10	71810	8498
Q8CFV9	54391	55312
P22892	11765	164
Q7TQ95	69605	80856
Q6ZQL4	72515	23160
P59708	66055	51639
O35841	11800	8539
Q8BMK4	216197	10970
P70168	16211	3837
Q8BKF1	216151	5442
Q9Z207	56419	81624
Q61510	217069	7706
Q8R361	52055	26056
Q3V1L4	76952	22978
Q921L5	76332	22796
Q9WVJ2	23997	5719
Q5U4C3	233208	58506
P17918	18538	5111
Q9D2C6	78929	171568
Q8BGQ6	230648	9813
Q9WUL7	56350	403
A2BDX3	69372	27304
P70699	14387	2548
Q9D8M4	66229	285855
Q9D8N0	67160	1937
P62908	27050	6188
Q6P1H6	71782	23141
O35344	16648	3839
P07901	15519	3320
O55098	20868	6793
P50431	20425	6470
Q8VDP4	219158	57805
Q9QWV9	12455	904
O08739	11717	272
Q8CI94	110078	5834
Q9D1H7	67604	51608
Q9DC28	104318	1453
O35226	19185	5710
Q924T2	118451	51116
Q9CQA1	66682	126003
Q3UFM5	433864	64434
P05202	14719	2806
P11031	20024	10923
O70310	18107	4836
P43883	11520	123
P48036	11747	308
Q05D44	226982	9669
P11276	14268	2335
P14206	16785	3921
P14206	102642689	3921
Q9R118	56213	5654
Q6DID7	68151	79971
O35598	11487	102
Q61735	16423	961
Q8K224	98956	55226
Q9CQJ6	68184	8562
Q61425	15107	3033
Q9Z2M7	54128	5373
Q8CJG0	239528	27161
Q80TE0	68925	26015
Q9ERF3	66317	80349
Q9Z120	17299	4234
Q8VCD5	234959	9440
Q9CR47	59050	10412
Q9CR47	102642514	10412
Q9WUU9	54387	8888
Q9JJU8	56726	6451
Q9CR00	67151	5715
Q6P5D8	74355	23347
Q7TMY7	320727	10526
P52479	22224	9100
Q9CYI0	70591	64149
Q9CXY6	67781	3608
Q64282	15957	439996
Q9DBH0	66894	11060
Q9DCD5	74094	93643
Q9DCD5	105242488	93643
Q9DB25	66248	29880
Q5NCQ5	116905	1801
P35456	18793	5329
Q9D903	69072	10969
P46460	18195	4905
Q8VHI3	80294	23275
Q99LX0	57320	11315
Q8JZQ2	69597	10939
P57780	60595	81
Q64674	20810	6723
P42128	17425	221937
Q9Z2I0	56384	3954
Q99JI4	66413	9861
Q9CZ04	26894	50813
Q80XJ3	209683	23331
Q91YW3	100037258	5611
Q9D819	67895	5464
Q3TBW2	107732	124995
Q61687	22589	546
P60710	11461	728378
Q9R061	26426	10101
P10922	14958	3005
Q9D7J9	67856	79746
Q9Z2G6	20338	6400
O54790	17134	4097
P62137	19045	5499
P20664	19075	5557
P97314	13008	1466
Q922U1	70767	9129
P47740	11671	224
Q9Z0W3	59015	23279
E9Q5K9	231386	91746
Q61233	18826	3936
Q9D0B0	108014	8683
Q8CBQ5	67073	55300
Q91VJ2	109042	112464
P63325	67097	6204
Q9D0D4	66254	27292
Q9D1N9	353242	219927
O35239	56294	5780
Q8BJS8	105837	27085
Q8BM39	67229	8559
Q8K2Q0	76501	29099
O35955	19171	5699
Q64669	18104	1728
Q8VBV7	108679	10920
O70503	56348	51144
Q9CXF4	66687	64786
Q91W86	71732	55823
Q9CQM5	52700	84817
P62855	27370	6231
P62855	27370	101929876
P62855	102642963	6231
P62855	102642963	101929876
Q6ZQ88	99982	23028
Q922M5	217946	55536
Q9DBG7	67398	6734
A2AM29	70122	4300
P23949	12193	678
P61164	54130	10121
Q8VD65	75669	30849
P28271	11428	48
Q8BG30	24116	7469
Q9CWL8	66642	56259
P46467	20479	9525
Q9QZQ8	26914	9555
Q8R349	69957	8881
O54984	56495	439
Q7TQK4	66362	51010
Q99K48	53610	4841
O89086	19652	5935
Q8BL66	216238	8411
P26883	14225	2280
Q9JLQ0	12488	23607
Q64737	14450	2618
Q6P1F6	71978	5520
Q61771	16569	9371
Q91VE0	26569	10999
Q3UVG3	210998	157769
Q8BKZ9	27402	8050
Q99JX4	98221	10480
P45878	14227	2286
P40201	12648	1105
P40201	67045	1105
Q8K3A9	231803	56257
P19253	22121	23521
O70318	13822	2037
Q9EQP2	98878	30844
P51660	15488	3295
O55029	50797	9276
D3YZP9	76551	8030
Q61686	12419	23468
P00375	13361	1719
P70318	21843	7073
Q9CQJ8	66218	4715
Q9WV03	108160	9130
Q61235	20650	6645
Q8BML1	320878	9645
Q6PGL7	28006	387680
Q99KK7	75221	10072
Q9EQ61	64934	23481
Q8R307	228545	57617
P24547	23918	3615
Q8BS90	77744	79866
Q8BLU0	399558	23768
P05627	16476	3725
O88668	433375	8804
P97370	11933	483
Q9R0M6	56382	9367
P51881	11740	292
O54941	57376	6605
Q9CYH6	59014	23212
Q3UZ39	16978	9208
Q922J9	67420	84188
Q99J83	11793	9474
Q9CXS4	73139	201161
Q9R1C7	56194	55660
Q9DC16	67458	57222
Q8C6E0	216618	112942
Q61508	13601	1893
O08547	20333	9554
P62245	267019	6210
P33609	18968	5422
P26443	14661	2746
P26443	14661	2747
P14576	24067	6729
Q9WUV0	26429	5001
Q8C7V3	105372	84135
Q8R574	212627	5636
P17012	22764	7544
Q9CZA6	67203	54820
O88844	15926	3417
Q8R1N0	66983	91603
Q8R1Q8	235661	51143
P53798	14137	2222
P43275	80838	3024
Q791N7	66136	30834
Q3V1H1	80986	26586
Q9R0E2	18822	5351
Q6P6J9	69672	79770
Q9CWN7	52846	55571
P62855	NA	6231
P62855	NA	101929876
Q62433	17988	10397
P61087	53323	3093
P46061	19387	5905
Q9CWJ9	108147	471
Q9D7E3	246257	124641
Q8K1A6	212139	54862
O54998	14231	51661
Q60790	19414	22821
Q3ULJ0	333433	23171
Q8C0D5	101592	79631
Q9D6L8	70225	53938
Q9R1C6	56077	8526
P99028	66576	440567
Q8BJM7	100929	55253
Q8BJM7	100929	441250
Q9CR39	66840	56270
E9PZJ8	77987	10973
Q9D832	67035	11080
Q91WK2	68135	8667
P47930	14284	2355
Q8BM55	68796	54867
Q6ZWV7	NA	11224
P63037	15502	3301
P56480	11947	506
Q6P9R2	108737	9943
Q9EPK5	97064	25937
P29416	15211	3073
Q8BJW6	229317	83939
Q6TYB5	225020	9637
Q60737	12995	283106
Q60737	12995	1457
Q9JIW9	64143	5899
Q99LR1	76192	26090
P61514	19981	6168
Q9WTM5	20174	10856
P54276	17688	2956
P14873	17755	4131
Q9D1A2	66054	55748
P19783	12857	1327
Q8BPG6	67902	25870
Q9JII6	58810	10327
Q9CQZ6	66495	4709
Q922S8	73804	11004
Q9D5V6	67043	94056
Q9Z0P5	23999	11344
Q3UA06	69716	9319
Q80YD1	338359	6832
Q6P2B1	320938	23534
Q9JJ78	52033	55872
Q8K2D3	353190	80153
Q07813	12028	581
P05213	22143	10376
Q8K301	78394	11056
Q9CXK8	66164	51388
P46737	210766	79184
Q8R422	235505	135228
O54774	11776	8943
Q8R0J7	330192	79720
Q61188	14056	2146
Q8R010	231872	7965
Q61696	193740	3303
Q61696	193740	3304
Q7TPE5	66432	84138
P43346	13178	1633
Q9WUK4	19718	5982
P97315	13007	1465
O70251	55949	1933
Q91VS8	227377	9855
Q9R0D8	75659	84058
P97765	22378	23558
P17095	15361	3159
P16045	16852	3956
O35215	13202	1652
O35215	13202	100037417
P17095	111241	3159
Q8BJY1	66998	5711
Q9JI48	231507	51316
O55022	53328	10857
Q923D2	233016	645
Q7TSV4	66681	55276
Q8K4Z5	67465	10291
Q61749	13667	8890
P62827	19384	5901
P62827	102641332	5901
Q8K2Q7	71678	148362
P70279	20935	6838
O70378	18117	10328
Q921W4	66609	9946
Q64437	11529	131
Q6ZWV7	66489	11224
Q8CFD4	231834	29886
Q9ER88	65111	7818
Q60823	11652	208
P70404	15929	3421
P97868	19647	5930
Q6P8X1	72183	58533
Q8BQM4	234549	55027
Q60864	20867	10963
O35887	12321	813
Q9CXF7	68058	9557
Q91VY9	52521	90441
Q9QZ06	54473	54472
P35290	19336	53917
Q5U458	230935	55735
Q9JIK9	79044	65993
P32067	20823	6741
P08228	20655	6647
Q9CSH3	72662	22894
Q8QZS3	216805	201163
O54962	23825	8815
Q8CHY6	234366	54815
Q8CD15	67014	84864
Q78IK4	68117	139322
Q60767	17076	100526664
Q60767	17076	4065
Q6PA06	56298	64225
Q8C863	16396	83737
Q8BGB7	67870	58478
P20060	15212	3074
O35130	14791	10436
Q8R3H9	72354	7268
Q91YN9	213539	9532
Q8K363	66942	8886
Q99PV0	192159	10594
Q9CR50	68098	25898
P12382	18641	5211
Q8K2C8	102247	137964
Q6ZWX6	13665	1965
P68510	22629	7533
P49717	17217	4173
P52482	22194	7324
Q8VCX5	216001	10367
Q8BR63	100101807	283635
Q91X43	27059	152503
Q9DC71	66407	64960
Q9JLM8	13175	9201
P70302	20866	6786
O88544	26891	51138
Q9WUA3	56421	5214
O88736	15490	51478
Q921Q7	225870	9610
Q9DAW9	71994	1266
P80313	12468	10574
P35951	16835	3949
Q61792	16796	3927
Q91VE6	67949	84365
Q9QYI3	56354	7266
O70481	22222	197131
Q9JK48	54673	51100
O88630	53334	9527
P62897	13063	54205
Q91VH2	66616	51429
Q6IRU2	326618	7171
P42669	19290	5813
Q8VE73	66515	9820
P61025	54124	1163
Q9CQ39	108098	9412
Q62383	20926	6830
Q60649	20480	81570
Q9CYG7	67145	10953
Q78IK2	66477	84833
Q78IK2	102637290	84833
Q78IK2	102642507	84833
Q3TYX3	232187	10322
Q922Y1	225896	51035
Q8K124	102595	80301
Q91YR7	68879	24148
Q61990	18521	5094
Q9JMB0	56278	80318
Q505F1	22025	7181
P68040	14694	10399
P62309	NA	6637
Q811U4	67414	55669
Q8BR63	73385	283635
Q8BFZ3	238880	345651
P49135	13872	2071
Q9QXT0	56530	10330
Q03145	13836	1969
Q9D883	108121	102724594
Q8BHK9	236930	54821
Q9D0L8	67897	8731
Q99P88	170762	9631
E9Q1P8	270110	359948
Q9D2G5	20975	8871
Q9Z2W0	13437	23549
Q60737	NA	283106
Q60737	NA	1457
Q99K51	102866	5358
Q99L13	58875	11112
O55142	57808	6165
Q9R1J0	18194	50814
Q8K5B2	193813	90411
Q8VCE2	74254	11321
P62204	12314	801
P62204	12314	805
Q8CB77	27224	6924
Q99J64	71684	375287
Q60866	19212	9317
Q9DC51	14679	2773
Q91Z31	56195	58155
P61211	104303	400
Q80U56	78937	23080
Q8R3C6	74111	9904
Q60738	22782	7779
Q9DBL7	71743	80347
O88487	13427	1781
Q8C166	266692	8904
O54825	53414	705
P40124	12331	10487
Q9ERE7	67943	23184
Q8K212	107975	55690
A2AJI0	245877	55700
Q8VDU0	76123	29899
Q9D0I9	104458	5917
Q99LI7	228410	1479
Q8R1G6	213019	64236
Q9CZX8	20085	6223
P11983	21454	6950
O08529	12334	824
Q99J56	67819	79139
Q8K0C9	218138	2762
P20108	11757	10935
P13439	22247	7372
O08663	56307	10988
A2ABV5	26896	9282
Q921X9	72599	10954
Q9JKF7	27393	54148
Q8CI71	73288	55610
P26231	12385	1495
Q9D0F9	72157	5236
Q9CQW2	67166	55207
Q7JJ13	14312	6046
Q921I6	98402	23677
Q8K1J6	70047	51095
Q6ZPT1	242521	55958
Q8BZQ7	99152	29882
Q6ZWN5	76846	6203
Q9JIA7	56632	56848
Q3UN04	100756	84749
P11440	12534	983
Q9D2D7	78266	57592
Q6P549	16332	3636
Q9R060	26425	4682
Q62086	330260	5445
Q99KH8	223255	8428
Q9CQ54	68197	100532726
Q9CQ54	68197	4718
Q9CQ54	102641347	100532726
Q9CQ54	102641347	4718
Q8BG67	76740	23167
Q9CQU1	67532	4236
P63168	56455	8655
P68037	22195	7332
P68037	100042355	7332
P58854	259279	10426
Q9D1R1	68472	55863
A2ADY9	68817	6248
P19157	14870	2950
Q9D358	11431	52
Q9D358	102642088	52
Q6NVF9	432508	11052
Q9D281	68303	92689
Q5SF07	319765	10644
Q91ZU1	72323	140459
P97477	20878	6790
Q9D0T1	100862468	4809
Q5SWW4	327987	9969
Q9ERS2	67184	51079
Q3TL26	15278	64216
O09110	26397	5606
Q9ER69	60532	9589
Q99LB7	192166	1757
Q8BUV3	268566	10243
Q64314	12490	947
Q9ERK4	110750	1434
Q99L85	54351	23587
Q8BGQ7	234734	16
Q60778	18036	4793
Q91YX5	226856	9926
Q8K2X3	108689	79991
Q9JIK5	56200	9188
Q9JIF7	70349	1315
Q8K0C4	13121	1595
O08579	13726	2010
Q80UM7	57377	7841
Q02248	12387	1499
Q8VE37	100088	1104
Q921C5	76895	23299
P45376	11677	231
Q9EQH3	65114	55737
Q9D958	69019	28972
Q8BJ05	75553	79882
P53995	17222	64682
Q9DCU6	66163	51073
Q99KJ8	69654	10540
Q80WQ6	217344	79651
P61089	93765	7334
O88700	12144	641
Q8BGA9	69089	5018
P59470	70428	55703
Q9R059	14201	2275
Q61206	18475	5049
Q9D5T0	67979	84896
Q9CPW7	66492	153527
Q9CQU1	100034361	4236
P06801	17436	4199
Q9CWS0	69219	23576
A2A5K6	329559	63925
P62311	67678	27258
Q9Z191	14051	2070
Q8BMS1	97212	3030
P84228	97114	653604
P84228	97114	126961
Q9D4H8	71745	8453
Q9CYA6	70650	55596
P62242	20116	6202
P49312	15382	3178
P49312	545091	3178
P29758	18242	4942
Q9DCM0	66071	23474
Q8BHJ5	81004	79718
Q62388	11920	472
Q6P5E4	320011	56886
Q8BHF7	74451	9489
Q6NZM9	208727	9759
O70274	19244	8073
Q6R891	217124	84687
Q91XU3	117150	79837
Q9WVE8	23970	11252
Q6NZQ4	55982	22976
P62754	20104	6194
P62754	105244208	6194
Q8BSE0	381110	151393
P70441	26941	9368
P83093	116873	57620
Q9JI44	66233	55929
Q6PAM1	109658	200081
Q8R2W9	211347	79646
P62869	67673	6923
Q9D0R4	52513	54606
Q99K28	77038	84364
Q5SX39	17884	4622
Q78JW9	28018	56061
Q99MR1	57330	64599
P18654	110651	6197
Q9D0M3	66445	1537
Q61559	14132	2217
Q6ZQ38	71902	55832
O70433	14200	2274
P63038	15510	3329
Q8BUN5	17127	4088
Q91Z67	14270	653464
Q91Z67	14270	647135
Q9EQ80	65102	60491
Q921N6	228889	55661
Q8VDM4	21762	5708
Q91VT1	68501	286053
P30285	12567	1019
A6H5Y3	238505	4548
P52432	20016	9533
P14824	11749	309
Q9WVF7	18973	5426
Q80TA6	268783	54545
P70671	54131	3661
Q9CXW2	64655	56945
P59235	69912	348995
Q62130	19250	5784
P59326	228994	54915
Q8VIJ6	71514	6421
Q8K021	107767	9522
Q9CPP0	18150	10360
P18242	13033	1509
Q9JLQ2	26431	9815
Q9D906	74244	10533
P34884	17319	4282
Q01853	269523	7415
P62960	22608	4904
Q8BJW5	68979	25926
B2RXC1	320714	60684
P62192	19179	5700
P23249	17454	4343
P35235	19247	5781
Q9JKF1	29875	8826
P70333	56258	3188
P08207	20194	6281
Q9Z1K5	23806	25820
Q91ZJ5	216558	7360
Q9D4H1	66482	55770
Q9CPQ3	223696	56993
P63005	18472	5048
Q9Z1E3	18035	4792
P54103	22791	27000
Q8BTU1	14894	29105
Q62425	17992	4697
P63260	11465	71
Q3UUQ7	241062	80055
Q9JLV1	29810	9531
P62301	68052	6207
P62301	102642137	6207
Q9Z1Q9	22321	7407
Q9D7N9	71881	57136
Q9CQ65	66902	4507
Q3TGF2	66540	83641
Q8K327	101994	283489
P61021	19344	5869
P09055	16412	3688
A2AQ19	76246	23168
Q8VHX6	68794	2318
Q9ESL4	65964	51776
Q9DAI2	67286	64792
Q9CWU9	69736	79023
Q9R1P0	26441	5685
Q9CRT8	73192	11260
Q62245	20662	6654
Q6NVF4	117599	92797
Q9WVM1	26934	29127
Q9JHW4	65967	60678
Q9CZW4	74205	2181
Q9CPV4	67201	51031
P42125	13177	1632
Q8BMA6	217337	6730
Q9DCH4	66085	8665
Q6ZQF0	235559	11073
O08784	21453	6949
Q08639	21781	51270
P14869	11837	6175
Q9JKN1	66500	148867
Q60967	23971	9061
B1AQJ2	72344	57602
Q8BT07	74107	55165
Q8BK67	108911	55920
Q64430	11977	538
Q62419	20405	6455
Q8BHN3	14376	23193
Q7TPD0	229543	65123
Q9CZU6	12974	1431
Q9CQV6	67443	81631
Q61035	15115	3035
Q9DB96	68966	25983
O88958	26384	10007
Q8R1B4	56347	728689
Q7TPR4	109711	87
Q9R0B9	26432	5352
P80315	12464	10575
Q80X90	286940	2317
Q3TIX9	28035	10713
Q8BH59	78830	8604
Q6PGC7	215436	55508
Q00PI9	68693	221092
Q8K0D5	28030	85476
P51150	19349	7879
P59016	233405	26276
Q91WG4	58523	55250
Q80SW1	229709	10768
Q99LB2	28200	10901
Q99LB2	28200	728635
Q8BZA9	319801	57103
Q8VDN2	11928	476
Q9D6K9	71949	91012
Q9CZU4	57837	26284
Q8K1N2	208177	90102
P30416	14228	2288
Q9DCA5	67832	55299
Q9D787	66053	23759
Q6ZPF4	22379	91010
P97304	20018	51082
P24369	19035	5479
Q8VBT0	72736	81542
Q9CPU0	109801	2739
O35900	27756	57819
Q8R409	192231	10614
Q9CR51	66290	9550
Q9DCD0	110208	5226
Q6ZWY3	67941	51065
A2APB8	72119	22974
Q9R1K5	56371	51343
Q6P6M7	211006	51091
P60122	56505	8607
Q8C4J7	213773	10607
O70579	20524	10478
Q9Z2X8	50868	9817
Q05CL8	28036	51574
Q99L04	52585	115817
Q6ZPG2	106618	197335
P21995	13723	133418
O70306	21384	6913
Q9CR57	67115	9045
Q8BIW1	229589	58497
Q99L45	67204	8894
Q62422	20409	26578
P56135	57423	9551
P97825	15374	51155
P84096	56212	391
O08749	13382	1738
Q99MK9	56289	11186
P28658	54138	25814
Q9R1P3	26445	5690
Q8BYW9	101351	285203
P58468	108707	85395
P22518	12747	1195
P35700	18477	5052
Q6NS46	18572	22984
Q6ZWY9	319179	8339
Q9CPQ8	27425	267020
O09005	13244	8560
D3YXK2	224903	6294
Q9CQS8	66212	10952
Q8K4F6	100609	55695
O70572	20598	6610
Q9DBH5	66890	10960
Q8CGA0	68606	9647
P61961	67890	51569
O88413	22158	7289
Q61069	22278	7391
Q61001	16776	3911
Q3TTY0	665270	151056
Q8K3W3	192160	22794
P17751	21991	7167
Q9JIB0	57785	29098
Q8QZY9	107701	10262
Q91WE1	69024	29907
Q5FWK3	228359	392
Q3UHC2	233328	79705
P33174	16571	24137
P33174	16571	285643
P07742	20133	6240
Q9CQQ4	66603	8487
Q640M1	72554	9724
Q640M1	72554	10813
Q3UMB9	319277	23325
Q61072	11502	8754
Q9D6T0	66394	51070
Q9WTX6	26965	8454
Q9CQU5	52696	11130
O54724	19285	284119
Q8JZM7	214498	79577
Q8K284	233863	2975
O55106	268980	6801
Q6ZWY9	68024	8342
P62889	19946	6156
P62889	433003	6156
P62889	619883	6156
P62889	625281	6156
P62889	664969	6156
P62889	677010	6156
P25206	17215	4172
Q3TIU4	211948	201626
O70591	18637	5202
Q6PE01	66585	9410
O89050	27418	4289
Q91VI7	107702	6050
Q9JJ89	108673	79080
Q9DBC3	74157	23070
Q8BIJ6	381314	55699
P63028	22070	7178
Q9CQ62	67460	1666
Q62189	53607	6626
O70435	19167	5684
P68372	227613	10383
Q8C4B4	106840	84747
Q99LS3	100678	5723
Q91VJ5	54633	10084
Q80WQ2	234729	55697
P81122	384783	8660
P48678	16905	4000
Q9CW03	13006	9126
P54071	269951	3418
Q3U0V1	16549	8570
P97450	11957	522
Q9CQN1	68015	10131
O88879	11783	317
O09172	14630	2730
Q9CQS2	66181	55505
Q99J95	107951	1025
Q91ZE0	192289	55217
Q71FD7	74202	54751
Q3UDE2	223723	23170
Q8R4X3	75710	10137
O88952	22343	55327
Q64261	12571	1021
Q3UL36	234023	55082
Q99KD5	101869	55898
Q9ESX5	245474	1736
Q9D8P4	27397	63875
P60330	105988	9700
Q9CWK3	70233	10421
P19182	15982	3475
Q9Z179	20419	79801
P16675	19025	5476
Q8K3W0	107976	9577
P49615	12568	1020
Q3TC46	225929	219988
Q9EPK7	65246	23039
P22437	19224	5742
Q93092	21351	6888
Q9WTX2	23992	8575
Q9CRD2	66736	9694
Q8CHP8	67078	283871
Q922E6	75619	22868
A2RSJ4	75089	23074
Q8K1R3	71701	87178
P61028	235442	51762
O70551	20815	6732
Q9JL15	56048	3964
P24527	16993	4048
P05201	14718	2805
Q922W5	209027	5831
Q6PGH2	52009	90861
A2AIV2	66185	25962
Q9Z277	22385	9031
P70428	14043	2132
Q9D0R8	268490	124801
Q810L4	230770	55116
Q8CI43	216459	140465
Q921I9	109075	54512
Q61576	14230	60681
Q9JKP5	56758	4154
Q9D710	66958	51075
Q62465	26949	10493
Q99MR8	72039	56922
Q9Z1Z2	20901	11171
P63101	22631	7534
Q9CQT1	67873	84245
Q6ZQA6	78908	3321
Q3V1T4	56401	64175
Q9JM76	56378	10094
Q9CR59	102060	90480
Q99LD9	217715	8892
Q9D071	72199	64210
Q91YU6	226154	84445
Q80U95	100763	9690
O88532	22763	51663
Q9DBJ1	18648	441531
Q9D0S9	68917	84681
Q9CZD3	353172	2617
Q3UQ28	69675	7837
P04627	11836	369
P45591	12632	1073
Q9EP97	80886	26168
Q8CGC4	241846	149986
Q8BKC5	70572	3843
P28660	50884	10787
O35134	20019	25885
Q9DAP7	66929	55723
Q61107	55932	388646
Q61107	55932	115361
Q8BHY2	100608	79050
P28063	16913	5696
Q9CQU0	66073	51060
P63280	22196	7329
P63280	102641751	7329
Q8CJF7	226747	25909
O88708	26428	5000
P21550	13808	2027
P43406	16410	3685
Q99J36	233802	55623
P53996	12785	7555
P14733	16906	4001
Q9Z2D1	77116	8898
O88983	55943	9482
Q8BFQ4	77305	80335
Q3URU2	18616	5178
Q9CQ06	67707	79590
Q5NC05	74044	8458
Q8BTI9	74769	5291
P46638	19326	9230
P54822	11564	158
Q8K1R7	217718	91754
Q9CWR7	70358	256227
Q8BH69	109079	22929
Q6PHQ8	78689	60560
Q99NH0	81702	26057
Q60953	18854	5371
O88342	22388	9948
P53994	59021	5862
Q9EQQ9	76055	10724
Q9ES46	170736	29780
Q61029	21917	7112
Q61033	21917	7112
Q8BWR4	227334	55230
Q9D1I6	68463	64928
Q8C7R4	231380	55236
Q8BUK6	320191	84376
Q9CR02	66282	55319
Q80U44	218441	9765
Q91YQ5	103963	6184
Q921Y0	232157	55233
Q9CWI3	66165	56647
Q6PD19	71617	79591
Q08369	14463	2626
Q62376	20637	6625
Q52KE7	56706	57018
Q9D1B9	68611	10573
Q9JJ94	68475	8636
Q9Z0E6	14469	2634
Q9CQ92	66437	51024
Q6ZQ73	67088	23066
Q8K389	214444	55755
Q9D6J3	72886	55702
Q99KK9	70791	23438
Q3TW96	227620	91373
P60867	67427	6224
Q9R062	27357	2992
Q64521	14571	2820
P16254	20813	6727
P16254	102642637	6727
Q91VZ6	98366	60682
Q61553	14086	6624
Q9CY50	107513	6745
Q9CX60	77889	81606
Q7TT37	230233	8518
O35316	21366	6533
Q99J62	106344	5984
Q8BX02	235041	25959
P20029	14828	3309
Q8R2U4	66617	28989
B2RX14	230594	23318
P55258	17274	4218
Q9CX97	67936	54853
Q8BH86	217830	80017
Q9D8C4	70110	3430
Q61578	14149	2232
O35857	21856	10469
P80314	12461	10576
Q8BWT5	64451	23181
Q9D2R0	78894	65985
Q6GQT9	211548	408050
A6X8Z5	12549	57514
Q9QZM0	54609	29978
P56812	56330	9141
P56812	100042424	9141
Q8R089	14123	64319
Q8C2Q3	56275	10432
Q62261	20742	6711
Q8CIB5	218952	10979
Q8C2E7	223593	9897
Q921F2	230908	23435
Q61103	19708	5977
P54728	19359	5887
Q922F4	67951	84617
