From    To
Q9CQ22  66508
O70551  20815
Q9CQ80  28084
F8VQ29  404710
Q8CFQ9  233908
P62908  27050
Q80XJ3  209683
P28656  53605
Q9CQJ2  68845
Q3TWV4  11773
Q3TZX8  74035
Q8R180  50527
P63087  19047
P63087  434233
Q6A0A2  217980
O35381  11737
Q99MJ9  94213
Q8BI84  338366
E9Q9E1  208643
Q9WVA4  21346
Q810A7  72047
Q9Z1M8  24010
Q99PL6  66530
Q99LC5  110842
P61406  103677
Q9R0N0  14635
O70310  18107
Q91VN6  72935
Q64516  14933
P06795  18669
Q5FWI3  83921
Q9CRB2  52530
Q9CY57  66511
Q3TMX0  53378
Q9JIK9  79044
Q9R0H0  11430
G3X972  218811
Q71FD7  74202
O88952  22343
Q8BMF4  235339
Q8BIW1  229589
Q8BKS9  52874
P35564  12330
Q6PDG5  68094
Q5RJG1  217431
O70472  56030
P52623  22245
P47713  18783
Q8BGA5  52705
O54734  13200
Q9R0P3  13885
Q8VDF2  18140
A2AIV2  66185
Q8CHE4  98432
Q8BRG8  72649
P25799  18033
Q921I9  109075
B7FAU9  192176
Q99N92  94064
Q8C263  219114
Q69ZN7  226101
Q8BMA6  217337
E9Q8V6  102442
Q8BJW6  229317
G5E8L2  21841
Q9Z1J3  18041
Q6P9P6  16551
Q78IK4  68117
Q9Z0L0  21983
Q91YR5  71449
Q8BU33  216136
P08228  20655
P61967  11769
A0A087WRF2  347722
Q5SF07  319765
Q64314  12490
P21550  13808
Q9D2C6  78929
P51949  17420
Q3UHG7  243780
Q8R3P6  69882
Q9CZD3  353172
Q80YR5  224902
Q8C0Z1  106581
Q9D787  66053
Q8C1Y8  231874
P60330  105988
P62962  18643
B1AU25  26926
Q60967  23971
Q9ER41  30934
Q3UPH7  268739
G3X8Y3  74838
Q02257  16480
Q91ZJ5  216558
O88879  11783
E9PX68  20534
O09053  22427
P0CG14  214987
P17918  18538
Q80ZK9  230796
Q8VDQ8  64383
Q9CPS7  66249
P54116  13830
Q8BU85  320183
Q3TGF2  66540
Q99J62  106344
P27546  17758
Q922W5  209027
Q9Z2G6  20338
Q9WUM5  56451
E9PXX7  105245
Q60960  16646
Q64318  21417
Q9D2D7  78266
Q9Z1K5  23806
P62259  22627
Q69ZA1  69562
Q9JKY0  58184
Q8VE73  66515
Q9CXW3  12301
Q9CYI4  66978
Q9CX00  71955
O55028  12041
P47962  100503670
O35344  16648
P62852  75617
Q8R0W0  223650
D3Z5I9  381626
E9QNN1  13211
Q8CFE2  72612
P59108  234577
Q9ER69  60532
Q9CQF3  68219
A2AN61  68379
Q9CQX8  66128
Q3UMU9  15193
Q8CGP6  319168
Q6P9J9  105722
Q9R118  56213
Q91WK2  68135
Q5SUF2  67684
Q8BRB7  54169
Q9ER00  100226
Q9JIK5  56200
Q9JIF7  70349
Q9JM14  50773
P62500  21807
Q8BG05  229279
Q8QZV7  71177
Q3TFP0  14105
Q9Z1B5  56150
Q3UPN1  22329
Q9ES00  63958
Q60866  19212
Q9CPQ8  27425
Q9WUV0  26429
Q80SY4  225164
Q8BSK8  72508
Q9WV54  11886
P47809  26398
Q8BFQ4  77305
Q9JJY4  53975
Q6ZWV7  66489
P52479  22224
P41731  12512
Q7TMY7  320727
Q8BIA4  231672
Q8BM39  67229
Q3UJD6  71472
Q9CXG3  67418
Q9D0I9  104458
Q3TYK3  18032
Q9DCL9  67054
P35601  19687
D3Z6Q3  108655
Q9WVA3  12237
Q6PD26  276846
Q8R5C5  226977
P80315  12464
Q9Z2Q6  18951
P35293  19330
Q9ESV0  27225
O70433  14200
Q99P31  66245
Q9Z1T6  18711
Q91ZN5  73836
P27808  17308
Q6P5F9  103573
Q6NZN0  74213
Q6PAV2  67345
P12815  18570
A2A9I0  56494
Q9CY50  107513
Q9CQM9  30926
Q9CWW6  105247253
Q9CWW6  69713
Q91YR7  68879
P83741  232341
O09005  13244
Q6ZQ03  55935
A2AWT6  21429
Q9D8S3  66251
Q9DB20  102641678
Q9DB20  28080
B2RY56  67039
Q9CPP6  68202
E9Q7W0  19664
P57759  67397
Q6P5B5  23879
Q8BH74  103468
O55128  20220
Q8R089  14123
Q9CQS2  66181
O55143  11938
E9PVX6  17345
Q9CWF2  73710
Q9JIF0  15469
Q8CI43  216459
Q8CFB8  235587
Q8VDR9  319899
Q61990  18521
Q9Z2I0  56384
Q921G8  74237
Q8BWR4  227334
Q8CGZ0  27967
P97384  11744
Q9QZE5  54161
Q9CR86  52502
Q9JKR6  12282
Q8BFY9  238799
Q920L1  76267
P28740  16563
E9QK83  70683
Q6WKZ8  224826
Q99L20  103140
O55091  16210
Q7TQK4  66362
Q8VC70  56516
D3YXJ0  380921
O35250  53413
E9PXW8  56233
Q61458  66671
Q9JJ28  14248
Q9WVA2  30058
Q9Z191  14051
Q8BH95  93747
Q8CHW4  224045
Q8R361  52055
O35114  12492
Q9JI48  231507
Q9CRC8  67144
Q3U3C9  382034
D3YU12  67824
P58871  228140
Q3U7U3  69754
Q9ERB0  67474
O89017  19141
Q6ZPG2  106618
Q91ZU1  72323
Q8BHB4  269470
Q6NXJ0  52357
Q99K51  102866
Q91W92  104445
P15116  12558
Q9DB25  66248
J3QMC5  100019
P11499  15516
Q9CQQ7  11950
Q9CPX6  67841
Q9CWP6  76763
Q91YD9  73178
Q9DC33  66867
Q61233  18826
B2RXS4  140570
P70288  15182
O88271  23837
P28063  16913
P97765  22378
Q6VNB8  72145
P42232  20851
Q8R3F5  223722
Q6PFD9  269966
G3UYF9  14976
Q8BXL7  76688
P60766  12540
Q6PB44  104831
Q8C569  109229
Q64327  17256
E9QMH7  67454
Q5ND34  192652
Q91YN9  213539
Q8BHF7  74451
Q9EP72  73024
Q8R3F9  70044
Q8VIJ6  71514
P35979  269261
Q3UF95  224727
Q8CGK3  74142
P62627  67068
Q8BMD8  229731
Q9QZK2  29815
Q8BYY4  69863
Q8C167  213760
Q61140  12927
Q61136  19134
Q99MN1  85305
Q9JLN9  56717
Q9WUM3  23789
Q8K411  69617
P63280  102641751
P63280  22196
A2ALW5  72429
P47955  56040
Q9Z1S0  12236
Q3UMY5  78798
Q9JHI5  56357
O35134  20019
O35963  19338
P31324  19088
Q61069  22278
Q9DAI2  67286
Q640N1  11568
Q60864  20867
Q9CX97  67936
Q924T2  118451
G3X9J0  74206
Q8BX10  72542
P47199  12972
Q3UMB5  237782
P54276  17688
Q8K1S3  107449
Q9CX60  77889
Q6DID3  106583
P50429  11881
Q3UL36  234023
Q3UMG5  210297
P51655  14735
O70572  20598
Q6P549  16332
Q8K2Y9  216527
P24860  268697
Q9JLB2  56217
Q3UHH8  223827
P60335  23983
O70591  18637
O54804  12660
Q99J45  192292
P62192  19179
Q3U4G3  268880
P0CL69  353310
Q8C1Q6  66487
Q3URU2  18616
Q9DC23  66861
A2AWP8  72754
Q9Z2N8  56456
G3UWQ7  233406
P18760  12631
P70182  18720
Q99LB2  28200
Q8BIW9  214901
P45952  11364
E9Q1G8  235072
P62717  76808
Q9CQ10  66700
Q8BHJ9  193116
P17742  268373
Q505D1  105522
P56213  11692
Q3TJ91  217325
Q8CG46  226026
P38647  15526
P55937  269682
P24527  16993
Q8CHI8  75560
Q9Z2I9  20916
O88736  15490
Q8R3N6  225160
P98083  20416
P48678  16905
Q8K3J1  225887
Q8BM55  68796
P62137  19045
F8VPT3  226413
P33610  19076
Q91V76  70984
Q91W50  229663
Q8C5R8  75456
Q6PGF5  213895
Q6PGA2  56437
E9PVP1  11630
Q9D2N9  77573
Q52KC3  17218
Q9D0L7  67211
Q8JZV7  245847
Q91VI7  107702
P11157  20135
E9Q446  57751
O08912  14423
P84084  11844
Q9R0P5  56431
O08997  11927
Q8BKT7  107829
Q9ET54  72333
Q64521  14571
O08573  16859
P17095  111241
P17095  15361
Q99KF1  67511
P12265  110006
P35951  16835
Q8BGS2  66162
Q921M3  101943
P70270  19366
P97454  17129
Q3V3R1  270685
Q6P542  224742
Q8R322  74412
Q6ZWY3  67941
Q9QUN7  24088
Q6ZQ73  67088
P57784  68981
Q9QZ23  56748
Q9Z0H1  57315
Q9EPL8  233726
Q9D7N9  71881
Q3UF75  57342
A2AHC3  227634
O35638  20843
Q9R0M6  56382
Q8JZN5  229211
Q6A028  20947
Q3TTY0  665270
Q9Z179  20419
E9QL65  338337
Q6ZWR6  64009
P61290  19192
P42125  13177
Q99KE1  107029
Q91VJ2  109042
P29758  18242
P11983  21454
Q8BJ34  223989
O35316  21366
Q921J4  77891
Q3UFS0  414872
Q62086  330260
Q60631  14784
P14131  20055
Q3THK7  229363
Q61753  236539
Q3TW96  227620
Q9CQ65  66902
Q91UZ1  18798
Q80XP8  72826
Q9CQ43  110074
P10711  21399
A2CG76  110147
O54950  19082
P43406  16410
Q3UMC0  57815
P56391  110323
Q8BKC8  107650
Q91Z31  56195
Q4FK66  230596
Q8R0X7  20397
Q8R550  58194
P43883  11520
P56812  100042424
P56812  56330
Q3V1L4  76952
Q8K3W0  107976
Q8R349  69957
P34022  19385
G3X9V0  19188
F7BGR7  102902673
Q6PDI5  230249
Q9DCJ5  68375
Q8BLF1  320024
Q80YR4  213753
Q80U95  100763
Q8BH78  68585
A2AM29  70122
Q8K202  64424
Q9WTX5  21402
Q3UPV6  16498
P63005  18472
Q8K094  52118
E9Q5F9  235626
O88829  20454
Q8VEK3  51810
Q9Z2L7  54394
Q8BM72  110920
Q9CXS4  73139
Q3UDE2  223723
Q8R3F0  214048
Q921Y2  102462
Q6ZWX6  13665
P26231  12385
Q9DB27  68995
Q9Z2U0  26444
P54071  269951
Q9JLB0  56524
G3X9N6  237542
Q04735  18555
P09055  16412
Q922E6  75619
A2BE28  76130
Q3TA68  225348
Q9JIH2  18141
P70280  20955
P62334  67089
P12787  12858
Q9DCT6  104457
Q62241  20630
Q921U8  29856
Q3UQ28  69675
Q61249  18518
P59016  233405
Q8BP47  70223
G5E8S8  75739
O08917  14251
Q6DID7  68151
Q62376  20637
P11276  14268
Q9QWF0  27221
Q61553  14086
Q8BKH7  227743
Q8BP48  75624
Q5I1X5  333654
Q8K1J5  208768
Q3UDK1  231712
Q91VJ1  383619
Q9D1R9  100043876
Q9D1R9  619547
Q9D1R9  68436
P05201  14718
Q9R1P1  26446
P24638  11432
P58404  97387
F2Z4A3  14107
Q924W5  67241
Q99J36  233802
Q9D1M4  66143
Q9CSH3  72662
Q8BH64  259300
Q8CGF7  56070
P47930  14284
Q69ZS7  56422
Q3B7Z2  76303
P68510  22629
Q3TFK5  66614
Q9JLJ2  56752
Q9D8N0  67160
Q91VH2  66616
Q8BLD4  230908
Q60676  19060
P59470  70428
Q91VA6  67811
Q8R2W9  211347
P42669  19290
O08539  30948
Q8C0M0  319481
Q9CSU0  70470
Q91VT1  68501
Q9CU62  24061
Q9DBG7  67398
Q9JHW4  65967
Q3TWW8  67996
E9Q624  52397
P13595  17967
Q7TQ95  69605
Q62186  20832
Q9JJG9  56412
P17751  21991
E9PZ16  15530
O35874  55963
Q9D4H8  71745
Q8BSE0  381110
Q9EQH2  80898
F8VPX1  252870
Q9QYJ3  81489
Q91VY9  52521
E9PZ21  56878
Q99KJ8  69654
P62806  100041230
P62806  102641229
P62806  319155
P62806  319156
P62806  319157
P62806  319158
P62806  319159
P62806  319160
P62806  319161
P62806  320332
P62806  326619
P62806  326620
P62806  69386
P62806  97122
Q80UG5  53860
B2RRE7  73945
Q05816  16592
P97464  14042
Q8R1X6  229285
Q6URW6  71960
Q91ZW3  93762
Q8BX17  216766
Q6NVE9  320717
Q6ZQH8  227699
Q9JLQ2  26431
Q99MU3  56417
A8C756  240174
P47941  12929
Q6ZPF4  22379
P62267  66475
Q61881  17220
P60521  93739
Q7TSJ2  17760
Q5PRF0  320487
Q9D517  28169
P08030  11821
P63147  22210
Q9CPS5  57296
Q60598  13043
Q62432  17126
Q9CQS8  66212
Q8BJU0  52551
Q9ER88  65111
Q9CZ13  22273
Q8BKF1  216151
O35841  11800
Q3TZR9  223922
P06869  18792
Q9WUL7  56350
Q9CYL5  384009
P40630  21780
G3UYU0  72640
Q8VD75  215114
P84096  56212
Q9QYL7  30946
D3YUM6  74051
B2RX14  230594
Q9D1Q6  76299
D3YY34  241915
Q9WUM4  23790
P45376  11677
Q80V26  242291
Q8BJZ4  232536
P62869  67673
A0A087WQQ5  16709
Q64514  22019
Q921H8  113868
Q9JMH6  50493
P08003  12304
Q8VC28  27384
P63073  13684
Q5DTX6  240185
Q6NZR5  108077
Q8BMB0  233545
E9Q7N5  320806
Q8BJW5  68979
Q9Z2X8  50868
Q8R5K4  230082
P63330  19052
Q8CIG8  27374
Q6NS79  13367
O08749  13382
Q8CBW3  11308
Q63850  18226
Q8C129  240028
Q9JK38  54342
P63242  276770
Q9JJE7  60527
Q80UJ7  226407
Q9CWR7  70358
Q8VBT9  68938
Q921F2  230908
Q9CQQ4  66603
P16675  19025
Q99K01  94184
O35604  18145
A2ATK9  269233
Q9CYD3  56693
Q3UYV9  433702
P56390  66197
O08583  21681
Q69Z38  244895
Q60972  19646
O70161  18717
P61358  19942
Q9D1E6  66411
P70444  12122
P61161  66713
Q9R1J0  18194
Q8VEH5  77781
P47911  19988
A2RSY1  226976
Q9JME5  11775
E9PZJ8  77987
P97452  12181
Q8R307  228545
Q99LU0  67064
P97351  20091
P70362  22230
Q5UE59  16593
Q9D1H7  67604
Q91WN1  108671
Q9R1T2  56459
Q8VCL2  100126824
Q9WUU8  57783
Q61768  16573
Q9D0F6  72151
P38060  15356
P62305  20643
Q61735  16423
Q9Z1E3  18035
Q6P3Y5  208968
Q8R1N0  66983
Q61335  27061
E9QNX9  16001
Q8BP71  93686
Q02053  22201
P00493  15452
Q3UJB0  319322
Q80X98  64340
Q6DFZ1  107338
Q9WV91  19221
Q9CR57  67115
Q9D281  68303
Q8BHC7  76867
Q63918  20324
Q64735  12946
Q9WUA3  56421
Q9EQQ9  76055
A2AJ72  320267
O54790  17134
Q6TXD4  71972
Q80U72  105782
Q8K2J0  72469
Q9D903  69072
Q61602  14634
P50247  11615
P50247  269378
Q8BHS3  66810
O54791  17133
Q9CQJ4  19821
Q80YT7  83679
Q8K327  101994
Q91VE6  67949
O35704  268656
Q8BHK9  236930
Q64437  11529
Q91YZ2  13017
Q91X76  70021
Q99J64  71684
Q8BFR5  233870
P49962  27058
Q80U16  193385
Q99M87  83945
O54825  53414
Q9CZ04  26894
P97390  22365
A2ADB1  56381
Q8VDJ3  110611
Q7TMB8  20430
Q8VE70  56426
Q5DW34  77683
Q8C6M1  74270
P97742  12894
Q7TPV2  224170
Q8CAQ8  76614
Q99LG2  212999
E9Q7G0  101706
G3X963  70472
Q07802  13591
Q9R049  23802
Q62419  20405
Q14AX6  69131
Q9CQ18  68209
P35822  19272
Q9CZ44  386649
Q5XJF6  19896
Q8K2D3  353190
P63328  19055
O55142  57808
Q8BGT7  76479
Q8BKX1  108100
Q8R4H9  69048
Q9CW46  71766
Q6ZPT1  242521
Q3TUE1  51886
A2A7B5  110593
Q8VEH6  226043
Q91W39  228869
Q8CHH9  20362
O54724  19285
Q75NR7  79456
Q5NC05  74044
Q8CJ53  106628
Q8BVY0  66409
P54731  14084
Q8VDM1  229007
Q3U0P5  12497
A2APB8  72119
Q9D1L0  14004
P70677  12367
E9Q394  75547
Q9D1L9  68576
P27612  18786
P47856  14583
P05627  16476
Q91YM2  232906
P32067  20823
Q99MR8  72039
Q8BYN2  51885
Q9D662  27054
Q62074  18759
Q99LL5  103136
Q6PGL7  28006
Q922Q2  71340
Q8BFZ3  238880
P59328  218973
Q99KK7  75221
Q5SVQ0  217127
Q9D8S4  104444
D3YVW2  73124
Q91YW3  100037258
P35550  102643269
P35550  14113
Q9Z2D8  17192
P63038  15510
Q80X50  74383
Q66X19  446099
Q8K4F6  100609
P51863  11972
Q6PDM2  110809
Q99M31  50497
Q8VHL1  73251
Q9ER67  80884
O89112  14768
Q9CPX8  66594
Q3TXS7  70247
O70194  55944
Q921M7  223601
Q923D5  60321
Q9JLC8  50720
Q3UGR5  76987
Q810D6  101612
Q7TME2  54141
O88712  13016
O35639  11745
P53564  13047
Q8BJ71  71805
Q99JN2  224023
Q3TIR3  101489
Q60605  17904
Q9CQU1  100034361
Q9CQU1  67532
Q9QZS3  18222
Q922D8  108156
Q9DBG9  76281
Q9D554  75062
Q9DAW9  71994
Q99KG3  236732
Q4VAC9  263406
P68254  214444
P68254  22630
Q8BP92  26611
P61089  93765
Q9CS74  70601
Q06138  12283
P55264  11534
O55234  19173
P54729  53312
B7ZP47  218914
P26883  14225
Q6ZQ06  382090
Q9EST5  67628
P49025  12704
P26039  21894
Q62347  12912
F8VQC1  66661
O08734  12018
Q9CXK8  66164
Q9QXK7  54451
O35226  19185
Q62422  20409
A2BH40  93760
Q6NZB0  68598
P58389  110854
Q8K124  102595
Q6P9R1  69663
Q8BH04  74551
Q05BC3  68519
Q62426  13014
Q9CR47  102642514
Q9CR47  59050
Q99KI0  11429
Q9D125  64658
Q62167  13205
P68372  227613
Q3UA06  69716
P30285  12567
Q99JX3  70231
Q9DAR7  69305
Q91VE0  26569
Q8VI75  75751
Q9CQJ8  66218
P20108  11757
P70460  22323
P61750  11843
E9Q5G3  71819
O35972  19935
E9QAH1  224139
Q8K3W3  192160
Q8K1M6  74006
Q7TPV4  18432
Q9JIA7  56632
Q9R1Z8  20410
Q921Y0  232157
Q9JLQ0  12488
H7BWY4  13383
Q01853  269523
Q9WV03  108160
Q6P1H6  71782
Q791N7  66136
Q6NXL1  69608
Q91VR5  104721
Q6ZQ93  17847
Q8BTI9  74769
Q80TL7  67074
Q9JL16  57444
Q91W86  71732
A2AUY4  407823
O09172  14630
P69566  56705
Q80UK8  70422
Q8C3R1  231841
Q8C5L3  72068
Q9DC28  104318
Q9R0A0  56273
Q9D1P0  68537
P97494  14629
Q8K310  17184
Q3UEB3  67959
Q9D6J6  72900
Q9JJ94  68475
Q6NZQ2  227674
Q61072  11502
P62309  68011
E9QNR6  107242
Q9CPU0  109801
Q9D706  71919
Q99N85  68565
Q920A5  74617
P12970  27176
P70290  17524
Q8CI94  110078
Q62523  22793
P32020  20280
P11031  20024
Q91VC3  192170
Q64364  12578
O35598  11487
Q6NV99  230376
Q922H2  236900
Q9R059  14201
Q9DBE8  56737
Q8K354  109857
O35685  18221
Q69ZW3  216565
Q6R891  217124
P50396  14567
Q8BHX3  52276
O35382  20336
Q9EP97  80886
P58801  192656
Q91V81  68035
Q8JZS9  52443
Q8BTU1  14894
P61222  24015
Q6GQT9  211548
Q925I1  108888
Q62095  26900
Q9JK81  60315
P63154  66877
Q9D1D4  68581
Q80WT5  216549
Q9R0E2  18822
Q6PB66  72416
P16125  16832
Q8BMC4  67842
P19324  12406
G3UVU2  20222
P52019  20775
P14824  11749
Q9JKF1  29875
P57746  73834
Q9Z1X4  16201
E9Q2E4  269700
Q91VD9  227197
Q8CGN4  71458
P61979  15387
P29416  15211
Q7TPM9  233315
Q99JR8  83796
P97480  14050
Q8BYA0  108903
Q3ULD5  78038
Q3UMF0  319876
Q921N6  228889
P30558  14062
Q9CZI9  68048
Q93092  21351
Q08369  14463
Q9CWQ0  69740
Q922Q8  98238
Q8K2V6  76582
Q8BXZ1  67988
Q91VZ6  98366
Q8BUK6  320191
P48428  21371
Q5PSV9  240087
P25444  16898
P42582  18091
D3YZE7  214764
D3Z7P3  14660
P30412  19038
Q9D7N3  69527
Q8BGQ7  234734
O54998  14231
G3X8R5  69232
P61027  19325
P12382  18641
Q6P1F6  71978
Q9EQP2  98878
Q8C078  207565
P83882  19982
P83882  66483
Q99PV0  192159
Q921L5  76332
B1ARD6  237886
Q61687  22589
Q61029  21917
Q91VM5  19656
Q9DCD0  110208
P32883  16653
Q99J56  67819
Q99MK9  56289
Q8JZQ9  27979
Q6ZQ08  234594
P09528  14319
Q61097  16706
Q8CG76  110198
P47857  18642
Q9Z127  20539
Q8BFR4  75612
Q61166  13589
B1AXI9  12009
Q9JJI8  67671
Q99LT0  66310
Q923B1  83703
Q791V5  56428
Q9D8M7  72057
Q9DCN2  109754
Q8R2U0  72124
P52875  21982
Q9CQV6  67443
Q91Z96  140780
O54988  20874
O35215  13202
Q99N15  15108
Q811P8  330914
E9Q2H1  70790
Q8BIJ6  381314
Q9QXB9  13495
Q80WQ2  234729
Q9WTK5  18034
A6H5Z3  75914
Q61846  17279
Q921C3  93871
Q9CQF9  66881
Q8BGR2  231549
Q5SUH6  216705
Q9DB42  68040
Q5SXC4  22344
Q8R3Y8  272359
Q99LB4  12332
Q9QUM9  26443
Q8VCE2  74254
Q61624  22661
P70195  19177
Q9D8U0  15983
Q5SUT0  14030
Q9Z2U1  26442
P47754  12343
Q61586  14732
Q8BHN3  14376
Q91VH6  76890
Q91VU7  78697
Q8C0N2  231510
E9Q4X2  66435
Q8VDP2  77644
Q9Z0P5  23999
Q8K301  78394
P61961  67890
Q9CQH8  67053
Q4U2R1  15204
Q9Z0E0  26562
E9QQ10  100986
Q8R5J9  65106
Q99PT1  192662
Q8K224  98956
P58854  259279
Q3TBW2  107732
Q91YM4  21379
Q9D5V5  75717
O88796  54364
Q63810  19058
Q3TQ29  80913
P61087  53323
Q921K8  232748
P43247  17685
Q8C854  17876
Q8BYW9  101351
Q91WD5  226646
E9QP19  94093
Q62012  100039934
Q62012  18422
B1AU75  50927
Q9QYI4  56709
P48036  11747
P35123  22258
Q6PCM2  18130
Q6P5D8  74355
Q9ER72  27267
Q9WUK4  19718
O08529  12334
Q9R0Z9  50768
Q3U5F4  230734
Q2TBE6  84095
Q6PAM1  109658
E9Q9D5  68708
Q8CI11  30877
Q99KI3  66087
Q6ZWM4  76522
Q8VC91  16151
Q9JMB0  56278
D3YYU8  98733
Q9CXZ1  17993
Q8K0C9  218138
Q9Z160  16834
Q6ZQK0  78658
Q9DCU6  66163
Q9D7G0  19139
Q9CR59  102060
Q64442  20322
F8VQJ3  226519
P61079  66105
P63276  20068
P97471  17128
Q8BJM5  210148
Q922U1  70767
Q8CCF0  68988
Q9Z0H7  12042
Q6P9R4  102098
Q99KW3  110253
Q3UHU8  14886
Q9CQR6  67857
Q14C51  69956
Q9Z0N1  26905
P33611  18969
P29595  18002
P48760  14287
Q6PGC7  215436
Q9D937  105242733
Q9D937  66276
Q60766  15944
P70671  54131
P63166  22218
Q9JII5  70248
P35762  12520
Q3TJD7  67399
P51660  15488
E9PYK3  328417
E9Q6R7  22288
Q9D0K2  67041
E9Q166  320817
Q61771  16569
Q8C2Q3  56275
Q8BT07  74107
Q9R1P0  26441
Q9D8C4  70110
P27048  20638
Q80UK7  72776
Q99JY0  231086
Q91YU6  226154
Q8BLU0  399558
P17439  14466
A2AH22  228361
P08113  22027
P63094  14683
Q9D186  68316
Q9JHU9  71780
B1AY13  329908
Q80SW1  229709
P97813  18806
Q04692  13990
Q9QYJ0  56445
Q3THK3  98053
G3UXW9  209318
Q9WV55  30960
Q9D1I6  68463
Q3UE37  268470
Q9JKY5  29816
Q80Y44  77591
Q80TR8  321006
O88907  56469
Q91WG3  227682
Q9WV98  30056
P61963  71833
Q7TT37  230233
P05132  18747
Q61792  16796
Q3TYX3  232187
Q99K28  77038
P58281  74143
Q9EQ61  64934
P62983  100042019
P62983  78294
P46638  19326
Q80TA6  268783
Q9CZE3  67844
Q9D020  107569
Q9D6K9  71949
Q921I6  98402
P62754  105244208
P62754  20104
P28271  11428
Q924M7  110119
P26040  22350
Q9JM13  56715
Q810L4  230770
Q9CPR5  27395
P60603  67067
Q8K1R3  71701
P62313  78651
Q8VCX5  216001
Q62351  22042
Q9D8Y1  66271
B1ATD5  74302
Q9DBR0  56399
P20029  14828
Q8CHT3  109077
Q9DC48  71713
F8WIE5  207304
Q99KD5  101869
Q8R3C6  74111
Q922H4  69080
Q8C2E4  71799
Q9Z120  17299
Q4FZF3  234374
P34152  14083
Q5XJY5  213827
Q9DAU1  72029
O08797  20723
Q8BFZ9  244373
Q9Z0H3  20587
Q91ZE0  192289
P70349  15254
Q571H0  207932
Q8JZU2  13358
Q8BTI7  237615
Q8BWW9  109333
E9Q0A7  170719
P40224  20315
Q80ZI6  227738
F2Z3U3  77300
Q00PI9  68693
Q6PHQ8  78689
Q9D1P4  66917
Q9CQE8  68045
Q91WQ3  107271
Q8CGB6  209039
Q99KV1  67838
Q9DCM0  66071
G5E8V8  56698
O55022  53328
D3Z7I0  71752
Q8CIB5  218952
Q3V300  110033
Q9CQZ5  67130
Q60710  56045
Q9D172  102641949
Q9D172  28295
Q61578  14149
Q8K1J6  70047
Q9DB28  117109
P62075  30055
S4R1S7  14007
Q9CR60  66964
P61021  19344
Q8BTS4  269113
P26516  17463
Q8CDG3  70675
Q9R207  27354
Q71RI9  229905
Q3TNB8  30938
Q91YU8  235036
P97314  13008
Q923T9  12325
Q8R5H1  14479
Q3TDT0  55992
O09106  433759
Q99LD9  217715
Q99LM2  80280
Q8CII2  98828
Q9D880  66525
P97429  11746
P43024  12861
E9Q616  66395
Q9DCC1  24018
Q8BV13  26895
Q9CY21  66138
P53986  20501
A2AN08  69116
Q9EPU0  19704
Q7TQH0  233871
P47791  14782
Q99JF8  101739
Q9EQJ9  99470
Q922D4  52036
Q8BU30  105148
Q8VBV7  108679
P62245  267019
O08715  11640
Q9CR67  67878
P14211  12317
P40124  12331
P83093  116873
Q922V4  53317
Q8CH72  69807
P59326  228994
Q8C863  16396
Q9DCC5  12417
Q99KK9  70791
Q6ZQF0  235559
Q9WUK2  22384
Q9CZ30  67059
Q5SFM8  225432
A2A5R8  20853
O08582  14904
Q9R1C6  56077
Q6JPI3  76199
Q9CPW4  67771
Q9D2G2  78920
Q8C547  320473
Q6NS46  18572
Q9JKX6  53893
Q9QYI3  56354
P57722  59093
Q9DAS9  14701
Q9DBJ1  18648
Q9CQ85  56322
Q78JW9  28018
P48755  14283
Q91YJ2  69150
Q9CQ06  67707
O35239  56294
Q8BY02  77286
Q9D031  20163
Q8BG81  73826
Q7TSG2  67655
Q8BQM4  234549
Q6DFV1  76044
Q9CWL8  66642
P27773  14827
Q7TQK1  77065
Q8CDJ8  77057
Q9ESL4  65964
P62774  14489
P84089  13877
Q9D6R2  67834
O88668  433375
Q923D4  66125
P70698  51797
P50518  11973
E9Q9B7  77480
Q9QYR9  171210
Q91VJ4  106504
Q9D3D9  66043
Q7TNC4  192196
Q91ZS8  110532
E9Q6Q8  210789
Q9QYM8  26886
Q9DAW6  70052
Q9R060  26425
Q7TSY8  68549
Q8CHT0  212647
Q99L85  54351
Q68FH0  227937
P20152  22352
E9PYI8  59025
Q61425  15107
P15975  99526
Q3TRL2  18607
P70318  21843
P62071  66922
P36552  12892
Q9D0I4  67727
Q99LX0  57320
A2A7T8  68310
Q8VHK9  72162
Q63829  12238
P45377  14187
O35495  18647
P17182  13806
P17182  433182
Q91XU0  78903
Q80WS3  237730
Q5SWZ5  26936
P62897  13063
P22892  11765
Q9D8U8  69178
Q05186  19672
Q99M51  17973
Q3U308  66965
Q06180  19255
Q8BVU0  70144
Q99J09  70465
Q9Z2W0  13437
Q8VD65  75669
Q9WUR9  11639
Q3UHB1  103466
P59235  69912
Q91Z38  66827
Q9CSN1  66354
O70475  22235
Q9DBD5  75273
P97315  13007
P15105  14645
O88569  102642938
O88569  53379
Q9JIB4  23894
O89086  19652
O89023  12751
Q8R574  212627
Q6P5E4  320011
P35700  18477
Q9Z2D1  77116
Q61074  14208
P20352  14066
Q148V8  105732
P97868  19647
Q04690  18015
Q60737  12995
Q8C253  16854
P62301  102642137
P62301  68052
Q8VDW0  68278
Q8K2Z4  68298
P06801  17436
B2RXC1  320714
P50544  11370
O09061  19170
Q3TYS2  217370
O08784  21453
P25206  17215
B1AWE0  12757
Q9JHJ3  56700
Q9JJA4  57750
Q8CIN4  224105
