A0A067XG53	ENSMUSP00000111098
O88839-3	ENSMUSP00000029676
O88839-3	ENSMUSP00000074167
O88844	ENSMUSP00000095316
O88848	ENSMUSP00000023405
O88848	ENSMUSP00000097238
O88848	ENSMUSP00000113127
O88848	ENSMUSP00000123287
O88856	ENSMUSP00000031287
O88874	ENSMUSP00000098616
O88879	ENSMUSP00000020157
O88895	ENSMUSP00000037981
O88907	ENSMUSP00000096248
O88952	ENSMUSP00000028583
O88958	ENSMUSP00000069081
O88967	ENSMUSP00000028117
O88974	ENSMUSP00000015841
O88983	ENSMUSP00000021285
O88986	ENSMUSP00000006544
O89001	ENSMUSP00000021201
O89017	ENSMUSP00000021607
O89023	ENSMUSP00000033184
O89050	ENSMUSP00000026699
O89051	ENSMUSP00000022704
O89079	ENSMUSP00000071078
O89086	ENSMUSP00000038964
O89110	ENSMUSP00000140335
O89112	ENSMUSP00000027149
P00375	ENSMUSP00000022218
P00493	ENSMUSP00000026723
P00860	ENSMUSP00000128661
P01027	ENSMUSP00000024988
P01101	ENSMUSP00000021674
P01887	ENSMUSP00000099534
P01899	ENSMUSP00000134570
P02463	ENSMUSP00000033898
P02469	ENSMUSP00000002979
P03958	ENSMUSP00000017841
P03991	ENSMUSP00000025181
P04441-2	ENSMUSP00000057836
P04441-2	ENSMUSP00000095171
P04627	ENSMUSP00000001155
P05064	ENSMUSP00000084846
P05132-2	ENSMUSP00000005606
P05201	ENSMUSP00000026196
P05202	ENSMUSP00000034097
P05213	ENSMUSP00000076777
P05622	ENSMUSP00000110929
P05627	ENSMUSP00000102711
P06151	ENSMUSP00000103267
P06537-3	ENSMUSP00000095199
P06745	ENSMUSP00000049355
P06795	ENSMUSP00000009058
P06797	ENSMUSP00000021933
P06801	ENSMUSP00000034989
P06869	ENSMUSP00000022368
P07091	ENSMUSP00000001046
P07356	ENSMUSP00000034756
P07607	ENSMUSP00000026846
P07742	ENSMUSP00000033283
P07901	ENSMUSP00000021698
P08003	ENSMUSP00000076521
P08030	ENSMUSP00000006764
P08046	ENSMUSP00000069616
P08046	ENSMUSP00000126931
P08113	ENSMUSP00000020238
P08122	ENSMUSP00000033899
P08207	ENSMUSP00000036949
P08228	ENSMUSP00000023707
P08249	ENSMUSP00000019323
P08752	ENSMUSP00000057543
P08775	ENSMUSP00000050771
P09055	ENSMUSP00000087457
P09103	ENSMUSP00000026122
P09405	ENSMUSP00000027438
P09411	ENSMUSP00000080302
P09450	ENSMUSP00000064680
P09528	ENSMUSP00000025563
P09671	ENSMUSP00000007012
P0C5E4	ENSMUSP00000058572
P0C7N9	ENSMUSP00000115881
P0CG14	ENSMUSP00000129823
P0CL69	ENSMUSP00000128757
P10107	ENSMUSP00000025561
P10126	ENSMUSP00000042457
P10518	ENSMUSP00000030090
P10605	ENSMUSP00000006235
P10630	ENSMUSP00000110998
P10639	ENSMUSP00000030051
P10649	ENSMUSP00000118874
P10711	ENSMUSP00000129157
P10852	ENSMUSP00000130194
P10922	ENSMUSP00000137309
P11031	ENSMUSP00000022816
P11087	ENSMUSP00000001547
P11157	ENSMUSP00000020980
P11276	ENSMUSP00000054499
P11438	ENSMUSP00000033824
P11440	ENSMUSP00000020099
P11499	ENSMUSP00000024739
P11688	ENSMUSP00000023128
P11983	ENSMUSP00000116108
P12023	ENSMUSP00000005406
P12265	ENSMUSP00000026613
P12382	ENSMUSP00000020522
P12787	ENSMUSP00000000090
P12815	ENSMUSP00000022060
P12970	ENSMUSP00000099962
P13020-2	ENSMUSP00000028239
P13439	ENSMUSP00000023510
P13595-2	ENSMUSP00000142331
P13864	ENSMUSP00000004202
P14069	ENSMUSP00000001051
P14115	ENSMUSP00000123410
P14131	ENSMUSP00000103940
P14148	ENSMUSP00000118695
P14152	ENSMUSP00000099938
P14206	ENSMUSP00000035105
P14211	ENSMUSP00000003912
P14576	ENSMUSP00000106336
P14685	ENSMUSP00000017365
P14733	ENSMUSP00000025486
P14824	ENSMUSP00000104511
P14869	ENSMUSP00000083705
P14873	ENSMUSP00000068374
P14901	ENSMUSP00000005548
P15092-2	ENSMUSP00000106845
P15105	ENSMUSP00000083375
P15116	ENSMUSP00000025166
P15532	ENSMUSP00000117022
P15535-2	ENSMUSP00000030121
P15626	ENSMUSP00000012348
P15975	ENSMUSP00000087857
P16045	ENSMUSP00000086795
P16056	ENSMUSP00000079324
P16125	ENSMUSP00000032373
P16254	ENSMUSP00000009693
P16460	ENSMUSP00000099904
P16546-2	ENSMUSP00000121116
P16675	ENSMUSP00000017904
P16858	ENSMUSP00000113942
P17012	ENSMUSP00000085423
P17047-3	ENSMUSP00000074448
P17095	ENSMUSP00000100667
P17095-1	ENSMUSP00000113011
P17182	ENSMUSP00000075513
P17426-2	ENSMUSP00000082519
P17427	ENSMUSP00000003038
P17439	ENSMUSP00000076589
P17710-3	ENSMUSP00000072195
P17742	ENSMUSP00000117987
P17751	ENSMUSP00000130858
P17809	ENSMUSP00000030398
P17918	ENSMUSP00000028817
P18155	ENSMUSP00000005810
P18242	ENSMUSP00000121203
P18406	ENSMUSP00000029846
P18654	ENSMUSP00000033671
P18760	ENSMUSP00000112259
P19096	ENSMUSP00000052872
P19157	ENSMUSP00000138073
P19182	ENSMUSP00000001672
P19253	ENSMUSP00000122044
P19324	ENSMUSP00000091706
P19426-2	ENSMUSP00000094956
P19426-2	ENSMUSP00000131195
P19426-2	ENSMUSP00000134272
P19536	ENSMUSP00000141554
P19783	ENSMUSP00000034276
P20029	ENSMUSP00000028222
P20060	ENSMUSP00000022169
P20108	ENSMUSP00000025961
P20152	ENSMUSP00000028062
P20352	ENSMUSP00000029771
P20664	ENSMUSP00000136556
P21107-2	ENSMUSP00000072197
P21126	ENSMUSP00000120461
P21278	ENSMUSP00000043190
P21279	ENSMUSP00000025541
P21460	ENSMUSP00000028938
P21550	ENSMUSP00000072620
P21619	ENSMUSP00000057291
P21956-2	ENSMUSP00000032825
P21956-2	ENSMUSP00000103032
P21981	ENSMUSP00000099411
P21995	ENSMUSP00000022242
P22437	ENSMUSP00000059977
P22518	ENSMUSP00000034868
P22682	ENSMUSP00000041902
P22777	ENSMUSP00000039586
P22892	ENSMUSP00000090844
P22893	ENSMUSP00000057815
P22907-2	ENSMUSP00000076575
P23116	ENSMUSP00000025955
P23242	ENSMUSP00000064536
P23249	ENSMUSP00000102387
P23475	ENSMUSP00000068559
P23506	ENSMUSP00000123866
P23591	ENSMUSP00000023231
P23780	ENSMUSP00000055803
P23804	ENSMUSP00000020408
P23804	ENSMUSP00000100898
P23949	ENSMUSP00000050820
P23950	ENSMUSP00000021552
P23950	ENSMUSP00000127522
P24270	ENSMUSP00000028610
P24288	ENSMUSP00000032402
P24369	ENSMUSP00000034947
P24527	ENSMUSP00000016033
P24547	ENSMUSP00000079888
P24668	ENSMUSP00000007602
P24788	ENSMUSP00000070527
P24860	ENSMUSP00000071989
P25206	ENSMUSP00000059192
P25322	ENSMUSP00000091495
P25444	ENSMUSP00000120715
P25799	ENSMUSP00000029812
P26011	ENSMUSP00000001327
P26039	ENSMUSP00000030187
P26040	ENSMUSP00000063734
P26041	ENSMUSP00000113071
P26043	ENSMUSP00000000590
P26187	ENSMUSP00000080224
P26231	ENSMUSP00000049007
P26369	ENSMUSP00000005041
P26443	ENSMUSP00000022322
P26450	ENSMUSP00000056774
P26516	ENSMUSP00000041968
P26638	ENSMUSP00000099685
P26645	ENSMUSP00000090245
P26883	ENSMUSP00000118725
P27046	ENSMUSP00000083928
P27048	ENSMUSP00000099488
P27546-2	ENSMUSP00000143171
P27577	ENSMUSP00000034534
P27601	ENSMUSP00000020930
P27612	ENSMUSP00000102724
P27641	ENSMUSP00000027379
P27659	ENSMUSP00000080354
P27773	ENSMUSP00000028683
P27808	ENSMUSP00000080484
P28033-3	ENSMUSP00000069850
P28063	ENSMUSP00000025196
P28271	ENSMUSP00000100038
P28301	ENSMUSP00000025409
P28301	ENSMUSP00000129247
P28352	ENSMUSP00000042602
P28474	ENSMUSP00000005964
P28653	ENSMUSP00000033741
P28653	ENSMUSP00000126768
P28656	ENSMUSP00000126850
P28658	ENSMUSP00000132450
P28659-2	ENSMUSP00000005643
P28660	ENSMUSP00000107390
P28740-2	ENSMUSP00000125644
P28798	ENSMUSP00000046340
P28867	ENSMUSP00000022521
P29268	ENSMUSP00000020171
P29341	ENSMUSP00000001809
P29416	ENSMUSP00000026262
P29595	ENSMUSP00000010520
P29758	ENSMUSP00000081544
P30285	ENSMUSP00000006911
P30412	ENSMUSP00000025419
P30416	ENSMUSP00000032508
P30681	ENSMUSP00000065940
P31230	ENSMUSP00000029663
P31324	ENSMUSP00000003079
P31786	ENSMUSP00000114705
P31938	ENSMUSP00000005066
P32020	ENSMUSP00000030340
P32067	ENSMUSP00000088365
P32233	ENSMUSP00000020741
P32507	ENSMUSP00000074898
P32883-2	ENSMUSP00000107339
P32921-2	ENSMUSP00000124625
P33174	ENSMUSP00000048383
P33215	ENSMUSP00000020163
P33609	ENSMUSP00000006856
P33610	ENSMUSP00000027312
P33611	ENSMUSP00000025752
P34022	ENSMUSP00000139059
P34152-3	ENSMUSP00000105663
P34884	ENSMUSP00000041149
P35123	ENSMUSP00000035237
P35235	ENSMUSP00000058757
P35278	ENSMUSP00000019317
P35282	ENSMUSP00000020343
P35290	ENSMUSP00000046188
P35293	ENSMUSP00000095285
P35441	ENSMUSP00000044903
P35456	ENSMUSP00000002284
P35486	ENSMUSP00000033662
P35550	ENSMUSP00000037613
P35564	ENSMUSP00000020637
P35585	ENSMUSP00000003117
P35601-2	ENSMUSP00000134444
P35700	ENSMUSP00000102078
P35761-2	ENSMUSP00000064839
P35762	ENSMUSP00000043768
P35822	ENSMUSP00000126279
P35831	ENSMUSP00000030556
P35922-3	ENSMUSP00000110303
P35951	ENSMUSP00000034713
P35979	ENSMUSP00000117461
P36552	ENSMUSP00000055455
P36916	ENSMUSP00000084450
P37040	ENSMUSP00000005651
P37913	ENSMUSP00000096411
P38060	ENSMUSP00000030432
P38647	ENSMUSP00000025217
P39053-5	ENSMUSP00000122679
P39054	ENSMUSP00000072199
P40124	ENSMUSP00000068260
P40142	ENSMUSP00000022529
P40201	ENSMUSP00000024627
P40224-1	ENSMUSP00000072800
P40240	ENSMUSP00000032492
P40336	ENSMUSP00000090130
P40630	ENSMUSP00000090086
P41105	ENSMUSP00000032597
P41241	ENSMUSP00000034863
P41731	ENSMUSP00000026407
P42125	ENSMUSP00000024946
P42128	ENSMUSP00000072616
P42208	ENSMUSP00000027495
P42227-2	ENSMUSP00000120152
P42232	ENSMUSP00000004143
P42582	ENSMUSP00000015723
P42669	ENSMUSP00000059404
P42859	ENSMUSP00000078945
P42932	ENSMUSP00000026704
P43024	ENSMUSP00000047661
P43135	ENSMUSP00000032768
P43247	ENSMUSP00000024967
P43274	ENSMUSP00000057308
P43275	ENSMUSP00000062030
P43276	ENSMUSP00000079356
P43277	ENSMUSP00000044395
P43300	ENSMUSP00000037042
P43346	ENSMUSP00000031311
P43406	ENSMUSP00000028499
P43883	ENSMUSP00000000466
P45376	ENSMUSP00000100045
P45377	ENSMUSP00000040244
P45591	ENSMUSP00000077262
P45700	ENSMUSP00000003843
P45878	ENSMUSP00000066839
P45952	ENSMUSP00000072483
P46061	ENSMUSP00000057771
P46414	ENSMUSP00000003115
P46414	ENSMUSP00000065832
P46460	ENSMUSP00000099364
P46467	ENSMUSP00000092230
P46471	ENSMUSP00000030769
P46638	ENSMUSP00000110021
P46664	ENSMUSP00000016105
P46718	ENSMUSP00000052523
P46735	ENSMUSP00000018561
P46737	ENSMUSP00000033544
P46935	ENSMUSP00000034740
P46938-2	ENSMUSP00000069554
P46978	ENSMUSP00000113116
P47199	ENSMUSP00000029850
P47713	ENSMUSP00000070868
P47738	ENSMUSP00000031411
P47740	ENSMUSP00000067767
P47754	ENSMUSP00000015877
P47757-2	ENSMUSP00000030518
P47758	ENSMUSP00000035157
P47791-2	ENSMUSP00000033992
P47802	ENSMUSP00000073261
P47809	ENSMUSP00000041282
P47811	ENSMUSP00000004990
P47856-2	ENSMUSP00000032057
P47857	ENSMUSP00000059801
P47911	ENSMUSP00000031617
P47930	ENSMUSP00000031017
P47941	ENSMUSP00000006293
P47955	ENSMUSP00000008036
P47962	ENSMUSP00000080854
P47963	ENSMUSP00000000756
P48036	ENSMUSP00000029266
P48193	ENSMUSP00000030739
P48193	ENSMUSP00000060375
P48193	ENSMUSP00000081274
P48193	ENSMUSP00000101592
P48193	ENSMUSP00000101595
P48193	ENSMUSP00000101601
P48428	ENSMUSP00000038781
P48678	ENSMUSP00000029699
P48722	ENSMUSP00000103721
P48725	ENSMUSP00000001179
P48755	ENSMUSP00000025850
P48759	ENSMUSP00000029421
P48760-2	ENSMUSP00000028148
P48771	ENSMUSP00000034881
P48774	ENSMUSP00000004134
P48962	ENSMUSP00000034049
P49025-4	ENSMUSP00000099620
P49135	ENSMUSP00000025241
P49138	ENSMUSP00000016672
P49282-2	ENSMUSP00000023774
P49312	ENSMUSP00000042658
P49443	ENSMUSP00000021514
P49452	ENSMUSP00000031170
P49586	ENSMUSP00000078721
P49615	ENSMUSP00000030814
P49717	ENSMUSP00000023353
P49722	ENSMUSP00000129767
P49962	ENSMUSP00000027792
P50096	ENSMUSP00000125077
P50247	ENSMUSP00000061851
P50396	ENSMUSP00000015435
P50429	ENSMUSP00000088964
P50431	ENSMUSP00000018744
P50516	ENSMUSP00000066886
P50518	ENSMUSP00000019354
P50543	ENSMUSP00000029515
P50544	ENSMUSP00000099634
P50580	ENSMUSP00000026425
P51125-3	ENSMUSP00000065275
P51150	ENSMUSP00000092658
P51174	ENSMUSP00000027153
P51410	ENSMUSP00000109399
P51432	ENSMUSP00000025912
P51480	ENSMUSP00000102748
P51655	ENSMUSP00000033450
P51660	ENSMUSP00000025385
P51807	ENSMUSP00000135978
P51859	ENSMUSP00000005017
P51863	ENSMUSP00000013304
P51881	ENSMUSP00000016463
P51943	ENSMUSP00000029270
P51949	ENSMUSP00000021523
P52019	ENSMUSP00000022977
P52293	ENSMUSP00000137310
P52431	ENSMUSP00000039776
P52432	ENSMUSP00000084252
P52479	ENSMUSP00000123590
P52480	ENSMUSP00000034834
P52480-2	ENSMUSP00000034834
P52482	ENSMUSP00000022296
P52623	ENSMUSP00000002625
P52633	ENSMUSP00000089708
P52825	ENSMUSP00000030345
P53351	ENSMUSP00000022212
P53395	ENSMUSP00000000349
P53564-3	ENSMUSP00000135086
P53569	ENSMUSP00000024885
P53690	ENSMUSP00000087119
P53702	ENSMUSP00000033717
P53762-2	ENSMUSP00000099810
P53798	ENSMUSP00000055313
P53810	ENSMUSP00000137510
P53811	ENSMUSP00000142732
P53986	ENSMUSP00000045216
P53994	ENSMUSP00000057664
P53995	ENSMUSP00000014499
P53996	ENSMUSP00000032138
P53996-2	ENSMUSP00000032138
P54071	ENSMUSP00000103007
P54103	ENSMUSP00000030771
P54276	ENSMUSP00000005503
P54728	ENSMUSP00000030134
P54729	ENSMUSP00000143657
P54731	ENSMUSP00000099785
P54775	ENSMUSP00000032824
P54822	ENSMUSP00000023043
P54823	ENSMUSP00000128421
P55096	ENSMUSP00000029770
P55200-2	ENSMUSP00000110337
P55258	ENSMUSP00000003121
P55264-2	ENSMUSP00000047665
P55271	ENSMUSP00000095595
P55302	ENSMUSP00000030986
P55937-1	ENSMUSP00000031477
P56135	ENSMUSP00000125504
P56183-3	ENSMUSP00000058785
P56212-2	ENSMUSP00000128921
P56213	ENSMUSP00000049186
P56390	ENSMUSP00000075250
P56391	ENSMUSP00000075150
P56394	ENSMUSP00000112386
P56480	ENSMUSP00000026459
P56671	ENSMUSP00000032916
P56812	ENSMUSP00000113013
P56960	ENSMUSP00000017408
P57716	ENSMUSP00000003550
P57722	ENSMUSP00000001148
P57724	ENSMUSP00000024260
P57746	ENSMUSP00000021536
P57759	ENSMUSP00000117347
P57780	ENSMUSP00000066068
P57784	ENSMUSP00000117947
P58021	ENSMUSP00000026624
P58043	ENSMUSP00000030724
P58044	ENSMUSP00000132780
P58064	ENSMUSP00000037631
P58252	ENSMUSP00000046101
P58281	ENSMUSP00000123880
P58389	ENSMUSP00000046837
P58404-2	ENSMUSP00000019220
P58468	ENSMUSP00000036382
P58501	ENSMUSP00000113835
P58742	ENSMUSP00000044604
P58774	ENSMUSP00000030184
P58774-2	ENSMUSP00000030184
P58801	ENSMUSP00000038833
P58854	ENSMUSP00000000776
P58871	ENSMUSP00000107232
P58929	ENSMUSP00000037075
P59016	ENSMUSP00000032749
P59017	ENSMUSP00000009256
P59048	ENSMUSP00000028972
P59108	ENSMUSP00000045755
P59235	ENSMUSP00000046732
P59325	ENSMUSP00000061616
P59326	ENSMUSP00000104504
P59328-3	ENSMUSP00000107421
P59470	ENSMUSP00000076418
P59598	ENSMUSP00000105413
P59708	ENSMUSP00000043662
P59997	ENSMUSP00000047683
P59999	ENSMUSP00000114839
P60122	ENSMUSP00000032165
P60229	ENSMUSP00000022960
P60330	ENSMUSP00000064465
P60334	ENSMUSP00000046517
P60335	ENSMUSP00000054863
P60521	ENSMUSP00000034428
P60603	ENSMUSP00000085981
P60670	ENSMUSP00000035851
P60710	ENSMUSP00000098066
P60766	ENSMUSP00000030417
P60843	ENSMUSP00000127034
P60867	ENSMUSP00000120528
P61021	ENSMUSP00000000727
P61025	ENSMUSP00000029679
P61027	ENSMUSP00000021001
P61028	ENSMUSP00000041857
P61079	ENSMUSP00000143606
P61082	ENSMUSP00000005714
P61087	ENSMUSP00000122471
P61089	ENSMUSP00000096932
P61161	ENSMUSP00000000137
P61164	ENSMUSP00000039844
P61202	ENSMUSP00000106090
P61211	ENSMUSP00000111942
P61222	ENSMUSP00000079379
P61226	ENSMUSP00000038841
P61255	ENSMUSP00000073175
P61290	ENSMUSP00000019470
P61327	ENSMUSP00000030348
P61358	ENSMUSP00000090305
P61406	ENSMUSP00000043555
P61514	ENSMUSP00000058919
P61588	ENSMUSP00000017288
P61620	ENSMUSP00000032168
P61622	ENSMUSP00000034774
P61750	ENSMUSP00000022429
P61759	ENSMUSP00000033540
P61804	ENSMUSP00000022781
P61804	ENSMUSP00000122366
P61924	ENSMUSP00000097738
P61961	ENSMUSP00000118478
P61963	ENSMUSP00000058168
P61967	ENSMUSP00000115941
P61979-2	ENSMUSP00000112104
P61982	ENSMUSP00000051223
P62071	ENSMUSP00000069752
P62073	ENSMUSP00000028470
P62075	ENSMUSP00000020440
P62077	ENSMUSP00000039335
P62082	ENSMUSP00000073880
P62137	ENSMUSP00000137997
P62141	ENSMUSP00000015100
P62192	ENSMUSP00000021595
P62196	ENSMUSP00000021049
P62204	ENSMUSP00000019514
P62242	ENSMUSP00000099757
P62245	ENSMUSP00000102198
P62259	ENSMUSP00000070993
P62264	ENSMUSP00000025511
P62267	ENSMUSP00000054490
P62270	ENSMUSP00000008812
P62274	ENSMUSP00000038352
P62281	ENSMUSP00000003521
P62301	ENSMUSP00000126294
P62305	ENSMUSP00000128400
P62307	ENSMUSP00000020203
P62309	ENSMUSP00000086987
P62311	ENSMUSP00000044178
P62313	ENSMUSP00000049722
P62317	ENSMUSP00000037597
P62320	ENSMUSP00000020397
P62325	ENSMUSP00000038863
P62331	ENSMUSP00000055862
P62334	ENSMUSP00000022380
P62488	ENSMUSP00000093980
P62500-2	ENSMUSP00000044517
P62627	ENSMUSP00000114928
P62702	ENSMUSP00000033683
P62717	ENSMUSP00000058368
P62737	ENSMUSP00000048218
P62743	ENSMUSP00000083281
P62746	ENSMUSP00000067013
P62748	ENSMUSP00000071756
P62751	ENSMUSP00000099541
P62754	ENSMUSP00000099878
P62774	ENSMUSP00000031866
P62806	ENSMUSP00000085006
P62814	ENSMUSP00000006435
P62827	ENSMUSP00000031383
P62830	ENSMUSP00000099435
P62849-2	ENSMUSP00000125977
P62852	ENSMUSP00000079180
P62855	ENSMUSP00000076447
P62869	ENSMUSP00000066210
P62874	ENSMUSP00000030940
P62876	ENSMUSP00000043204
P62880	ENSMUSP00000106656
P62889	ENSMUSP00000009039
P62897	ENSMUSP00000124523
P62900	ENSMUSP00000141808
P62908	ENSMUSP00000032998
P62911	ENSMUSP00000080523
P62915	ENSMUSP00000029938
P62918	ENSMUSP00000004072
P62960	ENSMUSP00000078589
P62962	ENSMUSP00000018437
P62983	ENSMUSP00000099908
P63005	ENSMUSP00000021091
P63017	ENSMUSP00000015800
P63028	ENSMUSP00000106519
P63037	ENSMUSP00000030118
P63038	ENSMUSP00000027123
P63073	ENSMUSP00000029803
P63085	ENSMUSP00000023462
P63087-2	ENSMUSP00000083474
P63094	ENSMUSP00000079341
P63101	ENSMUSP00000022894
P63147	ENSMUSP00000020657
P63154	ENSMUSP00000001818
P63158	ENSMUSP00000082682
P63166	ENSMUSP00000088935
P63168	ENSMUSP00000009157
P63242	ENSMUSP00000047008
P63260	ENSMUSP00000071486
P63276	ENSMUSP00000079628
P63280	ENSMUSP00000055714
P63325	ENSMUSP00000110531
P63328-2	ENSMUSP00000053101
P63330	ENSMUSP00000020608
P67778	ENSMUSP00000119603
P67871	ENSMUSP00000134673
P67984	ENSMUSP00000099480
P68037	ENSMUSP00000087658
P68040	ENSMUSP00000020640
P68254	ENSMUSP00000123605
P68368	ENSMUSP00000078429
P68368	ENSMUSP00000140657
P68369	ENSMUSP00000094778
P68372	ENSMUSP00000042342
P68510	ENSMUSP00000019109
P69566	ENSMUSP00000130636
P70122	ENSMUSP00000026387
P70168	ENSMUSP00000001479
P70180	ENSMUSP00000066737
P70182-3	ENSMUSP00000102852
P70195	ENSMUSP00000028083
P70202	ENSMUSP00000060732
P70206	ENSMUSP00000063066
P70227	ENSMUSP00000038150
P70245	ENSMUSP00000033509
P70255-2	ENSMUSP00000020461
P70261	ENSMUSP00000020289
P70270	ENSMUSP00000099765
P70279	ENSMUSP00000048457
P70280	ENSMUSP00000052262
P70288	ENSMUSP00000019911
P70290	ENSMUSP00000033775
P70295	ENSMUSP00000090281
P70296	ENSMUSP00000107604
P70302	ENSMUSP00000033289
P70303	ENSMUSP00000033727
P70318	ENSMUSP00000101833
P70324-2	ENSMUSP00000018748
P70324-2	ENSMUSP00000078657
P70324-2	ENSMUSP00000112519
P70333	ENSMUSP00000050838
P70336	ENSMUSP00000020904
P70349	ENSMUSP00000020504
P70353	ENSMUSP00000047441
P70362	ENSMUSP00000005394
P70372	ENSMUSP00000096549
P70388-2	ENSMUSP00000020649
P70404	ENSMUSP00000056502
P70428	ENSMUSP00000028623
P70441	ENSMUSP00000021077
P70444	ENSMUSP00000004560
P70459	ENSMUSP00000041912
P70460	ENSMUSP00000032561
P70671	ENSMUSP00000003284
P70677	ENSMUSP00000091238
P70697	ENSMUSP00000030446
P70698	ENSMUSP00000030381
P70699	ENSMUSP00000026666
P70700	ENSMUSP00000099494
P80313	ENSMUSP00000032078
P80314	ENSMUSP00000036288
P80315	ENSMUSP00000133523
P80316	ENSMUSP00000022842
P81122	ENSMUSP00000038514
P81269	ENSMUSP00000023769
P82343-2	ENSMUSP00000112277
P83093	ENSMUSP00000143855
P83741-4	ENSMUSP00000086017
P83882	ENSMUSP00000059766
P83887	ENSMUSP00000048036
P84078	ENSMUSP00000079905
P84084	ENSMUSP00000020717
P84089	ENSMUSP00000129620
P84096	ENSMUSP00000095832
P84228	ENSMUSP00000089295
P84244	ENSMUSP00000124509
P97287	ENSMUSP00000044048
P97298	ENSMUSP00000000769
P97300-1	ENSMUSP00000135199
P97304	ENSMUSP00000058355
P97310	ENSMUSP00000061923
P97311	ENSMUSP00000027601
P97314	ENSMUSP00000020403
P97315	ENSMUSP00000027677
P97329	ENSMUSP00000130045
P97346-2	ENSMUSP00000021204
P97351	ENSMUSP00000029722
P97363	ENSMUSP00000021424
P97370	ENSMUSP00000034983
P97376	ENSMUSP00000033999
P97377-2	ENSMUSP00000026416
P97379	ENSMUSP00000128244
P97384	ENSMUSP00000022416
P97390	ENSMUSP00000015891
P97393	ENSMUSP00000106353
P97429	ENSMUSP00000001187
P97450	ENSMUSP00000023608
P97452	ENSMUSP00000023217
P97454	ENSMUSP00000065798
P97464	ENSMUSP00000076505
P97470	ENSMUSP00000032936
P97471	ENSMUSP00000025393
P97477	ENSMUSP00000028997
P97480-2	ENSMUSP00000080425
P97494	ENSMUSP00000034905
P97742	ENSMUSP00000025835
P97765	ENSMUSP00000074204
P97770-2	ENSMUSP00000032398
P97813	ENSMUSP00000104197
P97825	ENSMUSP00000021083
P97855	ENSMUSP00000018727
P97868	ENSMUSP00000049528
P97930	ENSMUSP00000027503
P98064-2	ENSMUSP00000087327
P98078-2	ENSMUSP00000079689
P98083-2	ENSMUSP00000091940
P99024	ENSMUSP00000001566
P99026	ENSMUSP00000005923
P99027	ENSMUSP00000081474
P99028	ENSMUSP00000077744
P99029-2	ENSMUSP00000135084
Q00422	ENSMUSP00000009120
Q00493	ENSMUSP00000048555
Q00519	ENSMUSP00000024866
Q00547	ENSMUSP00000020579
Q00560	ENSMUSP00000064205
Q00560	ENSMUSP00000138836
Q00560	ENSMUSP00000139227
Q00612	ENSMUSP00000004327
Q00915	ENSMUSP00000059749
Q00PI9	ENSMUSP00000094515
Q01149	ENSMUSP00000031668
Q01237	ENSMUSP00000022176
Q01279	ENSMUSP00000020329
Q01320	ENSMUSP00000068896
Q01853	ENSMUSP00000030164
Q02053	ENSMUSP00000001989
Q02248	ENSMUSP00000007130
Q02257	ENSMUSP00000001592
Q02614	ENSMUSP00000114844
Q02788	ENSMUSP00000001181
Q02819	ENSMUSP00000033096
Q03137	ENSMUSP00000027451
Q03137	ENSMUSP00000139640
Q03137	ENSMUSP00000140954
Q03145	ENSMUSP00000006614
Q03147	ENSMUSP00000088845
Q03173-6	ENSMUSP00000077781
Q03265	ENSMUSP00000026495
Q03963	ENSMUSP00000024884
Q04207-2	ENSMUSP00000025867
Q04690-2	ENSMUSP00000071289
Q04692	ENSMUSP00000031984
Q04735-2	ENSMUSP00000033380
Q04750	ENSMUSP00000105094
Q04857	ENSMUSP00000001147
Q04863	ENSMUSP00000092355
Q04863	ENSMUSP00000096350
Q05186	ENSMUSP00000006128
Q05769	ENSMUSP00000035065
Q05816	ENSMUSP00000029046
Q05C51	ENSMUSP00000105358
Q05CL8	ENSMUSP00000029588
Q05D44	ENSMUSP00000027252
Q06138	ENSMUSP00000095270
Q06180-2	ENSMUSP00000112675
Q06185	ENSMUSP00000051222
Q07076	ENSMUSP00000066035
Q07139-2	ENSMUSP00000103933
Q07139-2	ENSMUSP00000103935
Q07139-2	ENSMUSP00000135740
Q07417	ENSMUSP00000031524
Q07797	ENSMUSP00000035579
Q07813	ENSMUSP00000033093
Q07832	ENSMUSP00000033154
Q08024-2	ENSMUSP00000059382
Q08093	ENSMUSP00000004784
Q08288	ENSMUSP00000084791
Q08369	ENSMUSP00000066927
Q08509	ENSMUSP00000052776
Q08639	ENSMUSP00000127952
Q08775-3	ENSMUSP00000123743
Q09XV5	ENSMUSP00000087184
Q0KL02	ENSMUSP00000087714
Q0P688	ENSMUSP00000053403
Q0PD20	ENSMUSP00000123033
Q0VBL3	ENSMUSP00000054424
Q0VGB7	ENSMUSP00000066314
Q11011	ENSMUSP00000001480
Q11136	ENSMUSP00000075683
Q148V8	ENSMUSP00000059839
Q14AX6-3	ENSMUSP00000103162
Q14C51	ENSMUSP00000080743
Q1HFZ0	ENSMUSP00000105321
Q1HL35	ENSMUSP00000047900
Q2KN98	ENSMUSP00000045099
Q2TBE6	ENSMUSP00000069284
Q2YDW2	ENSMUSP00000103118
Q3B7Z2	ENSMUSP00000025590
Q3KNM2	ENSMUSP00000024078
Q3TA68	ENSMUSP00000052465
Q3TAI4	ENSMUSP00000104427
Q3TB04	ENSMUSP00000089079
Q3TB04	ENSMUSP00000134803
