human_entrez	mouse_entrez	mouse_uniprot
3694	16420	Q9Z0T9
3694	16420	
6880	108143	
6880	108143	Q8VI33
6880	108143	Q8VCP8
6880	102216272	Q8VCP8
6880	102216272	
6880	102216272	Q8VI33
28957	66230	Q9CY16
154796	27494	
154796	27494	Q8VHG2
267	23802	Q9R049
267	23802	
51692	54451	Q9QXK7
8038	11489	Q61824
8038	11489	
4601	17859	
4601	17859	P50540
65125	232341	P83741
65125	232341	
10849	70333	Q76KJ5
3386	78369	Q9ERM2
58508	231051	
8546	11774	Q9Z1T1
51053	57441	O88513
51053	57441	
6427	20382	Q62093
6427	20382	
3673	16398	Q62469
3708	16438	P11881
3708	16438	
4928	269966	
8738	12905	O88843
51752	80898	Q9EQH2
23310	78658	
27347	53416	Q9Z1W9
84108	71041	Q99NA9
150	11551	
83540	66977	Q99P69
83540	66977	
7515	22594	
7515	22594	Q60596
6604	66993	Q6P9Z1
6604	66993	
9328	70239	Q8R2T8
9328	70239	
1460	13001	P67871
1460	13001	
8754	11502	
8754	11502	Q61072
50628	276919	
9978	56438	P62878
9978	100043674	P62878
3148	97165	P30681
3915	226519	
4794	18037	O54910
51690	66094	Q9CQQ8
9425	12593	Q9WTK2
10376	22143	P05213
151987	232314	
6599	20588	
6599	20588	P97496
8717	71609	Q3U0V2
8717	105242493	Q3U0V2
8717	71609	
8717	105242493	
2958	235459	Q80ZM7
2958	235459	
58497	229589	Q8BIW1
4691	17975	P09405
4691	17975	
10521	67040	
5429	80905	Q9JJN0
8899	19134	Q61136
5714	57296	
5714	57296	Q9CX56
23243	105522	Q505D1
388552	232946	Q5U5M8
401541	66336	Q9CZ92
57761	228775	Q8K4K2
54583	112405	Q91YE3
80306	66999	Q920D3
80306	66999	
11222	94062	
11222	94062	Q99N95
8085	381022	
8085	381022	Q6PDK2
2067	13870	P07903
2067	13870	
2977	234889	
65003	66419	Q9CQF0
10920	108679	Q8VBV7
10920	108679	
539	28080	
539	102641678	
539	28080	Q9DB20
539	102641678	Q9DB20
10009	56805	Q8BN78
10009	56805	
81857	75613	Q8VCB2
9092	20227	Q9Z315
8945	12234	Q3ULA2
1050	12606	
1050	12606	P53566
79139	67819	Q99J56
114823	232798	
114823	232798	Q8CBY3
506	11947	P56480
59	11475	P62737
832	12345	P47757
832	12345	
3839	16648	O35344
79026	66395	
79803	20170	Q8BLY7
12	16625	P29621
12	20714	
12	20717	Q03734
85439	108800	Q8BZ60
85439	108800	
1152	12709	Q04447
983	12534	P11440
983	12534	
10081	50996	
64979	94066	Q99N90
4216	26407	O08648
2189	60534	Q9EQR6
641	12144	
641	12144	O88700
114294	80907	Q9EP89
9462	226525	
8540	228061	
5300	23988	Q9QUR7
8411	216238	Q8BL66
84458	212391	Q6ZPI3
5432	20021	
9559	30930	P40336
2483	14300	P97376
9757	75410	
9757	75410	O08550
1791	21673	P09838
865	12400	Q08024
6883	66464	Q8VE65
6883	66464	
5074	114774	Q925B0
5362	18845	P70207
5362	18845	
64343	27215	
64343	27215	Q9QYP6
347733	73710	Q9CWF2
84433	108723	Q8CIS0
57504	116871	
57504	116871	Q924K8
11315	57320	Q99LX0
11315	57320	
3921	16785	P14206
3921	102642689	P14206
29781	52683	
29781	52683	Q8BSP2
997	216150	Q8CFI2
128308	67212	Q9CZ83
8819	60406	O88574
8089	64050	Q9CR11
27097	102162	Q91WQ5
8120	11775	Q9JME5
8120	11775	
6790	20878	P97477
54534	28028	Q8VDT9
5204	56612	Q9WU28
5204	56612	
23091	67302	E9Q784
8844	16706	Q61097
8844	16706	
10469	21856	O35857
10469	21856	
8881	69957	Q8R349
51639	66055	P59708
7337	22215	O08759
7337	22215	
811	12317	P14211
10142	100986	
10155	21849	Q62318
58494	67374	Q9JI59
58494	67374	
4673	53605	P28656
4673	53605	
51520	107045	Q8BMJ2
6875	72504	G5E8Z2
594855	235415	Q8R1B5
25801	227960	Q8VC88
6921	67923	P83940
6921	102642819	P83940
6921	67923	
6921	102642819	
3735	85305	
3735	85305	Q99MN1
64795	68477	Q80YQ8
64795	68477	
7520	22596	P27641
4149	17187	
7220	22063	
5890	19363	O35719
5890	19363	
1161	71991	Q8CFD5
1161	71991	
283208	320452	
23476	57261	Q9ESU6
23476	57261	
1176	11777	Q9DCR2
58509	70312	Q9CS00
4439	17687	
5104	268591	P70458
6895	21357	
6895	21357	P97473
1020	12568	P49615
1020	12568	
3054	15161	Q61191
3054	15161	
7153	21973	Q01320
10138	67057	Q99LW6
54913	102614	Q91WE3
253260	78757	Q6QI06
91750	217708	Q8CD94
91750	629959	Q8CD94
112885	271305	
112885	271305	Q8C966
4173	17217	P49717
4313	17390	P33434
26190	30050	
10296	59003	Q4VC33
10296	59003	
1912	54383	
1912	54383	Q9QWH1
128869	228812	
128869	228812	Q8K358
4435	12705	P97769
4435	12705	
708	12261	
60561	72772	
60561	72772	Q8BZ36
120892	66725	Q5S006
84061	67075	
10973	77987	E9PZJ8
140459	72323	Q91ZU1
140459	72323	
23708	14853	Q149F3
23708	14853	
2335	14268	
2335	14268	P11276
3688	16412	P09055
3688	16412	
6169	67671	Q9JJI8
6165	57808	O55142
23770	14232	O35465
23770	14232	
208	11652	Q60823
208	11652	
23429	56353	Q8CCI5
79816	114606	
79816	114606	Q9WVB3
6774	20848	P42227
6774	20848	
64375	22781	Q8C208
64375	22781	
1213	67300	Q68FD5
1213	67300	
8773	20619	O09044
8773	20619	
3911	16776	Q61001
3491	16007	P18406
6128	19988	P47911
6128	19988	
8573	12361	O70589
8573	12361	
6118	19891	
6871	217031	Q8CHV6
6871	217031	
6631	20630	Q62241
8317	12545	Q9Z0H0
8317	12545	
7534	22631	P63101
7534	22631	
115677	329416	Q6WKZ7
27154	268936	
51107	226548	Q8BVF7
51107	226548	
8613	67916	Q99JY8
5621	19122	P04925
1659	217207	A2A4P0
1659	217207	
10987	26754	O35864
10987	26754	
8915	12042	Q9Z0H7
3751	16508	Q9Z0V2
6194	20104	P62754
6194	105244208	P62754
55173	64657	
3376	105148	Q8BU30
3376	105148	
6188	27050	P62908
6188	27050	
5971	19698	Q04863
5971	19698	
56647	66165	Q9CWI3
10589	66556	
10589	66556	Q9D6N5
7398	230484	Q8BJQ2
7398	230484	
3326	15516	P11499
3326	15516	
8803	20916	Q9Z2I9
8803	20916	
55037	69956	Q14C51
55037	69956	
54973	71957	
54973	71957	Q9CWS4
63922	214901	
51412	83766	
51412	83766	Q99MR0
81	60595	P57780
81	60595	
10189	627488	
10189	100043292	
10189	56009	
10189	667692	
6015	19763	O35730
23644	234699	
8607	56505	P60122
8607	56505	
9372	230597	
1026	12575	P39689
2159	14058	O88947
2159	14058	
7088	21885	
7088	21885	Q62440
6872	270627	Q80UV9
6872	270627	
1111	12649	O35280
1111	12649	
79948	216152	
9457	57756	Q9WTX7
6150	19935	O35972
54960	237221	Q8BHE1
54960	237221	
11017	66618	Q8K194
9646	22083	Q62018
868	208650	
5928	19646	Q60972
5928	19646	
9442	68975	Q9DB40
9442	68975	
6156	19946	P62889
6156	433003	P62889
6156	619883	P62889
6156	625281	P62889
6156	664969	P62889
6156	677010	P62889
54344	68563	Q9D1Q4
4824	18095	P97436
3932	16818	P06240
3932	16818	
10490	53612	
8663	56347	Q8R1B4
8663	56347	
11224	NA	Q6ZWV7
11224	66489	Q6ZWV7
10607	213773	Q8C4J7
10607	213773	
51593	83701	Q99MR6
51593	83701	
51138	26891	O88544
51138	26891	
2475	56717	Q9JLN9
7052	21817	P21981
7052	21817	
29123	77087	
8295	100683	
3257	192236	
8405	20747	Q6ZWS8
8405	20747	
675	12190	
675	12190	P97929
9814	78887	
9814	78887	Q3UZY0
8515	213119	
79791	76454	Q3TQF0
79791	76454	
6400	20338	Q9Z2G6
6400	20338	
514	67126	P56382
2534	14360	P39688
2534	14360	
9111	64685	O35309
9111	64685	
27034	66948	
86	56456	
86	56456	Q9Z2N8
64223	56716	Q9DCJ1
10450	56031	Q9QZH3
6232	57294	
6232	57294	Q6ZWU9
4008	380928	
999	12550	
9785	64340	
84057	76915	Q8K396
3791	16542	
26519	30059	P62073
830	12343	P47754
830	12343	
64951	64660	Q9CQV5
4671	17948	Q9QUK4
4671	17948	
6135	67025	Q9CXW4
6135	67025	
10286	68183	Q9D287
10286	68183	
7057	21825	
4303	54601	Q9WVH3
4303	54601	
79833	67242	Q9CX53
5045	18550	P23188
5045	18550	
4846	18127	
4846	18127	P70313
9406	53861	Q9R020
9406	53861	
3937	16822	
3937	16822	Q60787
2079	13877	P84089
2079	13877	
81887	76130	A2BE28
5983	69263	Q8R323
5966	19696	
116540	68499	Q9D1H8
3958	16854	
84142	70681	
84142	70681	Q8BPZ8
10025	216154	
51659	272551	Q9D600
4331	17420	
4331	17420	P51949
1616	13163	
55929	66233	Q9JI44
23493	15214	Q9QUS4
8894	67204	Q99L45
8894	67204	
5605	26396	Q63932
5605	26396	
9913	72195	Q9CZV5
9913	72195	
5933	19650	Q64701
4998	18392	Q9Z1N2
1408	12953	Q9R194
4035	16971	
3680	104099	B8JK39
3680	104099	
8531	56449	Q9JKB3
9984	225160	Q8R3N6
861	12394	
57617	228545	Q8R307
9522	107767	Q8K021
9522	107767	
23236	18795	Q9Z1B3
23236	18795	
51024	66437	
51024	66437	Q9CQ92
2902	14810	
2902	14810	P35438
27348	30934	Q9ER41
27348	30934	
4801	18045	P63139
4801	18045	
322	11785	
322	11785	Q9QXJ1
8493	53892	Q9QZ67
8493	53892	
23557	20615	Q9Z266
23557	20615	
996	217232	A2A6Q5
996	217232	
84342	97484	Q9JJA2
84342	97484	
905	72949	
805	12314	P62204
55327	22343	O88952
10940	67724	
51400	72590	Q8BVQ5
11335	12417	
83746	214669	P59178
83746	214669	
5310	18763	O08852
10093	68089	P59999
10093	68089	
5859	97541	
6239	68750	
6239	68750	Q3UH06
4487	17701	P13297
894	12444	P30280
894	12444	
57703	80744	
57703	80744	Q8C5N3
3014	15270	P27661
4914	18211	Q3UFB7
11325	72047	Q810A7
54737	75339	Q3TYA6
5083	18511	P47242
5001	26429	Q9WUV0
5001	26429	
51258	66493	Q9CPY1
4528	76784	Q91YJ5
4528	76784	
8662	27979	Q8JZQ9
8662	27979	
64978	60441	Q8K2M0
9967	230753	Q569Z6
9967	230753	
1025	107951	Q99J95
1025	107951	
8624	56088	Q9JK23
8624	56088	
5439	20022	
26258	18457	Q9R0C0
9794	103806	
9794	103806	Q6T264
7764	228913	
5896	19373	P15919
57216	93840	
57216	93840	Q91ZD4
3479	16000	P05017
3479	16000	
8350	319152	P68433
161	11772	P17427
161	11772	
6935	21417	Q64318
6935	21417	
2152	14066	
9183	26951	O54692
1101	12643	O55226
10487	12331	P40124
10487	12331	
8971	243529	
84313	28084	Q9CQ80
84313	28084	
80746	381802	
80746	381802	Q6P7W5
26292	56309	Q9EQS3
26292	56309	
64432	64658	Q9D125
11234	246694	P59438
11234	246694	
4800	18044	P23708
4800	18044	
9817	50868	Q9Z2X8
6638	20646	P63163
10318	57783	
10318	57783	Q9WUU8
3352	15552	Q61224
11177	217578	
11177	217578	O88379
522	11957	P97450
522	11957	
51616	407786	Q6NZA9
51616	407786	
1108	107932	
1108	107932	Q6PDQ2
11200	50883	
11200	50883	Q9Z265
6130	27176	P12970
6130	105245385	P12970
23067	208043	Q8CFT2
23067	208043	
6594	93761	Q6PGB8
6594	93761	
2903	14811	P35436
23186	217864	
7332	22195	P68037
7332	100042355	P68037
7332	22195	
7332	100042355	
55696	66810	Q8BHS3
6173	66483	P83882
286826	72568	
2932	56637	Q9WV60
2932	56637	
5694	19175	Q60692
5719	23997	Q9WVJ2
5719	23997	
5000	26428	O88708
5000	26428	
6152	68193	Q8BP67
6152	102641064	Q8BP67
1058	12615	O35216
1058	12615	
54518	54519	Q8R5A3
8726	13626	Q921E6
8140	20539	Q9Z127
22914	27007	
22914	27007	O54709
28973	66973	Q99N84
28973	66973	
10592	14211	Q8CG48
10592	14211	
8818	13481	
8818	13481	Q9Z324
55168	68565	
3146	15289	P63158
3146	100862258	P63158
3146	15289	
3146	100862258	
4436	17685	P43247
4436	17685	
8452	26554	Q9JLV5
8452	26554	
2971	66596	
22803	24128	Q9DBR1
963	12508	Q61451
596	12043	P10417
125476	225280	Q8BHA0
125476	225280	
10614	192231	Q8R409
7424	22341	P97953
57459	229542	Q8VHR5
57459	229542	
5888	19361	
5888	19361	Q08297
3486	16009	P47878
2017	13043	
2017	13043	Q60598
10642	140486	O88477
4437	17686	
10452	53333	Q9QYA2
10452	53333	
5290	18706	P42337
5290	18706	
57554	242274	
5577	19088	P31324
5577	19088	
11052	432508	Q6NVF9
11052	432508	
5926	238247	
9131	26926	
9131	26926	Q9Z0X1
5424	18971	P52431
5424	18971	
6637	68011	P62309
5686	26442	Q9Z2U1
5686	26442	
1398	12928	Q64010
1398	12928	
1982	13690	
55330	117197	Q8VED2
4738	18002	P29595
367	11835	P19091
348995	69912	P59235
51678	56524	Q9JLB0
51678	56524	
117143	27878	Q99LM9
117143	27878	
940	12487	P31041
598	12048	Q64373
598	12048	
51665	65247	Q9WV74
51665	65247	
10799	208366	Q8R1F9
10799	208366	
387	67653	
142	11545	
6843	22317	Q62442
6843	22317	
389362	69666	
389362	69666	P0C7N9
84148	67773	Q9D1P2
84148	67773	
11329	106504	Q91VJ4
7408	22323	P70460
7046	21812	Q64729
7046	21812	
54107	59001	
51808	56698	
51808	56698	Q9JJT9
27161	239528	Q8CJG0
10943	17692	Q9WVG9
23431	108011	
23431	108011	Q80V94
11218	53975	Q9JJY4
11218	53975	
72	11468	P63268
72	11468	
9969	327987	Q5SWW4
84515	66634	Q9CWV1
81027	545486	A2AQ07
4851	18128	Q01705
4851	18128	
5695	19177	P70195
55291	52036	
55291	52036	Q922D4
6627	68981	P57784
6627	68981	
6732	20815	O70551
6732	20815	
3980	16882	
220988	229279	Q8BG05
220988	229279	
8517	16151	
8517	16151	O88522
5557	19075	P20664
5557	19075	
6767	70356	Q99L47
6767	70356	
83444	70020	Q99PT3
83444	70020	
4926	101706	
85437	67197	Q9CZ96
85437	67197	
3845	16653	P32883
3845	16653	
55599	67225	
55599	67225	Q3UZ01
80349	66317	
80349	66317	Q9ERF3
7936	27632	P19426
7936	27632	
83860	209361	
83860	209361	Q5HZG4
890	12428	P51943
890	12428	
8566	216134	Q8K183
8566	216134	
5452	18987	Q00196
5452	18987	
50848	16456	O88792
10569	193116	
10569	193116	Q8BHJ9
11073	235559	Q6ZQF0
11073	235559	
10969	69072	Q9D903
10969	69072	
10131	68015	Q9CQN1
10131	68015	
2767	14672	P21278
23522	54169	
23522	54169	Q8BRB7
9179	11781	Q9JKC7
9179	11781	
4204	17257	Q9Z2D6
4204	17257	
8841	15183	
93649	214384	Q8VIM5
93649	214384	
7094	21894	P26039
7094	21894	
51729	60321	Q923D5
51729	60321	
4904	22608	P62960
4904	22608	
3838	16647	
3838	16647	P52293
1487	13016	O88712
1487	13016	
6688	20375	
6688	20375	P17433
3684	16409	
10284	20220	
4087	17126	Q62432
4087	17126	
3978	16881	
79075	72107	Q14AI0
79075	72107	
3953	16847	P48356
3953	16847	
51187	225215	
51187	225215	Q99L28
8087	14359	Q61584
8087	14359	
1285	12828	Q9QZS0
1285	12828	
317	11783	O88879
317	11783	
22985	56215	Q9JIX8
22985	56215	
9128	70052	Q9DAW6
10912	23882	
10926	27214	Q9QZ41
10926	27214	
7341	22218	P63166
7341	22218	
6421	71514	Q8VIJ6
3065	433759	O09106
23129	67784	Q3UH93
23129	67784	
23028	99982	Q6ZQ88
23028	99982	
7311	22186	P62984
7311	22186	
4343	17454	
4343	17454	P23249
8473	108155	Q8CGY8
6138	66480	Q9CZM2
6138	66480	
6168	19981	P61514
56288	93742	
56288	93742	Q99NH2
6146	19934	P67984
6146	102642602	P67984
126626	213054	P81069
126626	213054	
54760	18551	
54760	18551	P29121
928	12527	P40240
6431	67996	Q3TWW8
6431	67996	
23164	26936	
23164	26936	P97434
134353	72290	Q8BUV6
5979	19713	P35546
3667	16367	
23528	226442	Q99LI5
4808	18072	Q64221
6605	57376	O54941
6119	68240	Q9CQ71
10371	20346	O08665
10371	20346	
9682	230674	Q8BW72
9682	230674	
5987	19720	Q62158
5987	19720	
23020	320632	Q6P4T2
55294	50754	
55294	50754	Q8VBV4
4438	55993	Q99MT2
4438	55993	
10474	101206	Q8R0L9
10474	101206	
10051	70099	Q8CG47
10051	70099	
92856	27993	Q8VHZ7
92856	27993	
5450	18985	Q64693
2	232345	
2	232345	Q6GQT1
5156	18595	P26618
5156	18595	
10573	68611	Q9D1B9
10573	68611	
3068	15191	P51859
3068	15191	
55114	70497	
55114	70497	Q3UIA2
8825	108030	Q8JZS0
8825	108030	
29127	26934	Q9WVM1
29127	26934	
79447	NA	Q99L02
79447	67278	
79447	67278	Q99L02
1947	13641	P52795
4171	17216	P97310
4171	17216	
5978	19712	Q8VIG1
1479	228410	Q99LI7
9126	13006	Q9CW03
29945	52206	Q91W96
29945	52206	
7277	22145	P68368
7277	22145	
25896	77065	
3191	15388	Q8R081
3191	15388	
2982	60596	Q9ERL9
2982	60596	
80143	66641	Q9CPR7
80143	66641	
5925	19645	P13405
5925	19645	
9135	54189	O35551
9135	54189	
6874	228980	
8777	17475	Q8VBX6
8777	17475	
10460	21335	
8673	22320	
25920	58202	Q8C4Y3
25920	58202	
9410	66585	Q6PE01
8664	55944	O70194
5531	56420	P97470
5531	56420	
498	11946	Q03265
498	11946	
6429	57317	
2768	14673	P27600
2768	14673	
55954	67178	Q9CQR5
60488	232536	
51691	76522	Q6ZWM4
51691	76522	
10870	23900	Q9QUJ0
2533	23880	O35601
2533	23880	
9295	69207	
7323	66105	P61079
7323	66105	
673	109880	P28028
673	109880	
8243	24061	
8243	24061	Q9CU62
6137	270106	P47963
2274	14200	O70433
2274	14200	
819	12328	P49070
23468	12419	Q61686
23468	12419	
64960	66407	Q9DC71
6185	20014	Q9DBG6
6185	20014	
10514	18432	Q7TPV4
5361	18844	P70206
5361	18844	
354	16619	Q9JM71
354	16616	Q61759
354	13646	P15948
354	16613	P15946
354	18048	P00757
354	16617	Q61754
354	16615	P04071
354	18050	P00756
51763	19062	Q8C5L6
51763	19062	
84311	67036	Q9D0Q7
84311	67036	
6500	21402	
6500	21402	Q9WTX5
4233	17295	
1027	12576	P46414
1027	12576	
5894	110157	Q99N57
5894	110157	
57405	66442	Q3UA16
57405	66442	
4215	26406	Q61084
23759	66053	Q9D787
23759	66053	
6227	66481	Q9CQR2
5119	234852	Q921W0
130340	252903	Q7TN05
130340	252903	
2004	13713	P41971
2004	13713	
64769	70088	Q2VPQ9
64769	70088	
23774	223770	
2176	14088	
2176	14088	P50652
2561	14401	P63137
22916	68092	Q9CQ49
22916	68092	
2968	14885	O70422
2968	14885	
50813	26894	Q9CZ04
50813	26894	
2975	233863	
2975	233863	Q8K284
3329	15510	P63038
3329	15510	
3320	15519	P07901
3320	15519	
55299	67832	Q9DCA5
55299	67832	
6498	20482	Q60665
6498	20482	
571	12013	P97302
10499	17978	
10499	17978	Q61026
57521	74370	
5469	19014	
5469	19014	Q925J9
51645	68816	Q9D0W5
51645	68816	
10465	NA	Q9D868
10465	66101	Q9D868
10465	66101	
2957	83602	Q99PM3
2957	83602	
1021	12571	
1021	12571	Q64261
3265	15461	Q61411
3265	15461	
9869	84505	
1603	13135	P61804
54797	67219	Q9CZ82
54797	67219	
54567	54485	Q9JI71
10728	56351	Q9R0Q7
10728	102641464	Q9R0Q7
10728	56351	
10728	102641464	
2237	14156	
11267	27681	Q9CZ28
11267	27681	
5709	22123	P14685
5709	22123	
57117	71793	Q9D168
546	22589	Q61687
546	22589	
8905	108012	Q9DB50
8905	108012	
7089	21886	
7089	21886	Q9WVB2
10250	51796	
84126	235610	Q8BMG1
84126	235610	
6741	20823	P32067
6741	20823	
6502	27401	Q9Z0Z3
6502	27401	
5515	19052	P63330
8906	11766	
8906	11766	O88512
5080	18508	P63015
5080	18508	
9255	13722	
26224	50789	Q8C4V4
26224	50789	
3417	15926	O88844
3417	15926	
27040	16797	
27040	16797	O54957
23621	23821	
23621	23821	P56818
5702	19182	O88685
5702	19182	
6621	227644	
6621	227644	Q8BP86
6209	20054	P62843
6209	20054	
9368	26941	P70441
6141	19899	P35980
6141	19899	
64708	26895	Q8BV13
64708	26895	
53938	70225	Q9D6L8
53938	70225	
79813	77683	Q5DW34
79813	77683	
51081	50529	Q80X85
4076	53872	Q60865
4076	53872	
64968	121022	P58064
3608	67781	Q9CXY6
5720	19186	
5720	19186	P97371
4175	17219	P97311
4175	17219	
8751	11490	O88839
6234	54127	P62858
6234	54127	
2566	14406	P22723
2566	14406	
4804	18053	
1739	13383	Q811D0
1739	13383	
101	11501	
101	11501	Q05910
2734	20340	Q61543
2734	20340	
23658	66373	P62322
23658	102636255	P62322
23658	102641341	P62322
23658	66373	
23658	102636255	
23658	102641341	
6738	20822	O08848
4678	50927	
4678	50927	Q99MD9
2811	14723	O35930
5914	19401	P11416
4736	19896	
24144	54723	Q9ERA6
24144	54723	
6520	17254	P10852
6520	17254	
6477	20438	
55304	228677	Q8BG54
30011	58194	Q8R550
30011	58194	
891	268697	P24860
891	268697	
55723	66929	Q9DAP7
2342	110606	Q8K2I1
2342	110606	
84289	66262	Q9D8Y8
84289	66262	
23350	67958	Q6NV83
23350	67958	
64601	80743	
1499	12387	
1499	12387	Q02248
66008	70827	
10213	59029	O35593
4005	16909	
4005	16909	P25801
10197	19192	
10197	19192	P61290
2099	13982	P19785
2099	13982	
51318	66223	Q9CQL6
51318	66223	
9318	12848	P61202
9318	12848	
23512	52615	Q80U70
23512	52615	
9265	19159	O08967
9265	19159	
5371	18854	Q60953
5371	18854	
5203	109054	
1207	12729	
1981	208643	
1981	208643	Q6NZJ6
4086	17125	P70340
4086	17125	
2064	13866	P70424
84552	93737	Q9JK84
7324	22194	P52482
6595	67155	
9289	14766	Q8K209
85458	330938	Q80Y83
85458	330938	
5286	18704	
6625	20637	Q62376
6625	20637	
11143	217127	Q5SVQ0
11143	217127	
55660	56194	Q9R1C7
55660	56194	
10236	74326	
10627	67268	
5617	215028	
5617	67000	
5617	19110	O35256
5617	66392	Q9DAZ2
5617	66392	
5617	18775	
5617	75596	Q8CGZ9
5617	18776	P09586
5617	67505	Q9CRB5
6158	19943	P41105
6158	19943	
5690	26445	Q9R1P3
4773	18019	Q60591
4773	18019	
5287	240752	
4088	17127	Q8BUN5
4088	17127	
1153	12696	
1153	12696	P60824
54148	27393	Q9JKF7
84262	66506	Q9CZH3
3224	15426	P09025
84246	28077	Q9CXU0
10787	50884	P28660
10787	50884	
9325	56404	Q9QXN3
9325	56404	
509	11949	
509	11949	Q91VR2
5567	18749	P68181
5567	18749	
25913	101185	Q91WC1
25913	101185	
6840	225115	Q8K4L3
6840	225115	
2889	107746	
8431	23957	Q62227
5434	66420	Q80UW8
898	12447	Q61457
898	12447	
7035	21788	O54819
7035	21788	
132660	231506	
132660	231506	Q571G4
56945	64655	Q9CXW2
1911	13619	
55670	74043	
55670	74043	Q8BGI5
5501	19047	P63087
5501	434233	P63087
5501	19047	
5501	434233	
51602	55989	
51602	55989	Q6DFW4
5906	109905	P62835
5906	109905	
835	12366	P29594
835	12366	
5929	213464	
5929	213464	Q8BX09
5781	19247	P35235
51010	66362	Q7TQK4
51010	66362	
7415	269523	Q01853
65110	67031	
7074	21844	
54108	93696	Q9JKP8
54108	93696	
3091	15251	
3091	15251	Q61221
998	12540	P60766
3516	19664	
3516	19664	P31266
84967	116748	Q8QZX5
84967	116748	
51283	67118	
51283	67118	Q8R079
65109	68134	
6224	67427	P60867
5981	19687	
57461	57905	Q69ZQ2
57461	57905	
22801	319480	
154007	67797	Q9D361
154007	67797	
9146	15239	
79084	70465	Q99J09
79084	70465	
7533	22629	P68510
8453	71745	Q9D4H8
8453	71745	
57332	30951	Q9QXV1
2060	13858	P42567
2060	13858	
6233	78294	P62983
6233	100042019	P62983
513	66043	Q9D3D9
513	66043	
1293	12835	
29110	56480	Q9WUN2
2068	13871	O08811
2068	13871	
10985	231659	
8896	231889	
8896	102642043	
8896	231889	Q6PGH1
8896	102642043	Q6PGH1
7706	217069	
7706	217069	Q61510
9519	237336	P62340
5500	19046	P62141
5500	19046	
9343	20624	
9343	20624	O08810
9767	382207	
9767	382207	Q6IE82
8233	22184	
4803	18049	P01139
4803	18049	
10075	59026	
10075	59026	Q7TMY8
51720	20184	
5279	67292	Q9CXR4
5279	67292	
27336	72459	Q8BGC0
8683	108014	Q9D0B0
8683	108014	
55717	207425	
6878	21343	Q62311
6878	21343	
5901	19384	P62827
5901	102641332	P62827
3976	16878	P09056
3976	16878	
6714	20779	
6714	20779	P05480
55758	214742	Q6PGA0
55758	214742	
3784	16535	
3784	16535	P97414
55775	104884	
4049	16992	P09225
6696	20750	
6696	20750	P10923
4306	110784	
6949	21453	
6949	21453	O08784
65005	78523	Q99N94
65005	78523	
10814	12890	P84086
10362	15353	Q9Z104
10362	15353	
5897	19374	P21784
2885	14784	Q60631
2885	14784	
5718	66997	Q9D8W5
5718	66997	
80153	353190	Q8K2D3
80153	353190	
7422	22339	Q00731
7422	22339	
5514	52040	Q80W00
5514	52040	
200081	109658	Q6PAM1
200081	109658	
55435	211556	
472	11920	Q62388
472	11920	
4172	17215	P25206
92421	66371	Q9D7F7
92421	66371	
9219	23942	Q9R190
3611	16202	O55222
3611	16202	
257397	66724	
257397	66724	Q571K4
5685	26441	Q9R1P0
5685	26441	
10001	69792	Q921D4
10001	69792	
83443	66125	Q923D4
23404	227715	Q8VBV3
23404	227715	
8543	16911	P61969
8543	16911	
6772	20846	
9861	66413	Q99JI4
8342	68024	Q6ZWY9
121536	11569	Q9Z248
121536	11569	
80314	13831	Q8C9X6
80314	13831	
7132	21937	
7132	21937	P25118
1107	216848	
10657	20218	Q60749
5590	18762	
5590	18762	Q02956
10262	107701	Q8QZY9
9612	20602	
9612	20602	Q9WU42
12	20716	
12	628900	
3192	51810	Q8VEK3
6827	20922	P63271
6827	100041294	P63271
6827	20922	
6827	100041294	
7913	110052	Q7TNV0
7913	110052	
859	12391	P51637
1457	12995	Q60737
1457	12995	
4084	17119	
2155	14068	P70375
10096	74117	Q99JY9
10096	74117	
867	12402	
867	12402	P22682
5984	106344	Q99J62
5984	106344	
29899	76123	Q8VDU0
29899	76123	
6464	20416	P98083
6464	20416	
65018	68943	
65018	68943	Q99MQ3
2175	14087	Q9JL70
2175	14087	
3689	16415	Q3UV74
3689	16415	
3689	16414	
10203	54598	Q9R1W5
9129	70767	Q922U1
9129	70767	
2891	14800	
10528	67134	Q9D6Z1
10528	67134	
160	11771	P17426
2967	209357	Q8VD76
2961	68153	Q9D902
2961	68153	
2078	13876	P81270
2078	13876	
5438	69920	P60898
5438	69920	
5437	245841	Q923G2
3020	15081	P84244
3020	544973	P84244
3020	625328	P84244
3020	667250	P84244
3020	102642045	P84244
24137	16571	P33174
55656	72656	Q80V86
55656	72656	
8910	20392	O70258
8910	20392	
55506	404634	Q8CCK0
23199	382034	
23199	382034	Q3U3C9
10801	53860	Q80UG5
10801	53860	
83464	208117	Q8C7N7
83464	208117	
63891	84585	Q5XPI3
63891	84585	
57132	67028	Q9CQD4
57132	67064	Q9CQD4
2969	14886	Q9ESZ8
2969	14886	
116461	66637	
4802	18046	P70353
4802	18046	
7353	22230	
7353	22230	P70362
6881	24075	Q8K0H5
9987	50926	
51510	76959	Q9D7S9
94005	276846	Q6PD26
5829	19303	Q8VI36
5829	19303	
3351	15551	P28334
5530	19055	P63328
7222	22065	
7525	22612	Q04736
7525	22612	
54512	109075	Q921I9
1969	13836	Q03145
10163	242687	Q8BH43
10163	242687	
579	12020	P97503
3703	16430	P46978
3703	16430	
23118	68652	
23118	68652	Q99K90
